active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
0,"{'positive_description': ['趣味は、お笑い鑑賞・アイドル研究。', '特技は、早起き。'], 'negative_description': [], 'other_description': ['', '', '\n', 'Dear my teacher - チームA名義', '', 'teamA 1st Stage 「PARTYが始まるよ」公演星の温度（1st UNIT）', '', '', 'M zip（元レギュラー、千葉テレビ放送）', 'ギャルギャル大図鑑（テレビ埼玉）', '', 'SPECIAL EDITION AKB48 「Memories」宇佐美友紀（2006年6月23日、AKS）', '宇佐美友紀 ～USAMISU～（2008年8月25日）', '', '広報みさと（2004年12月号）', '情報倫理教材パートII（2004年）', '', '', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', '', '', '', '', '', '初期体制', '組閣後（2010年）体制', '組閣後（2013年）体制', '大組閣後（2014年）体制', '春の人事異動後（2015年）体制', '組閣後（2018年）体制', 'チーム8', 'バイトAKB', '主な元メンバー', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元3期生・チームB', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元4期生', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元チームB', '', '', '', '', '', '', '\n', 'SKE48へ移籍', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元4期生', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', 'HKT48へ移籍', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '\n', 'CGキャラクター', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '\n', '兼任終了', '\n', '兼任終了', '', '', '', '', '\n', '兼任終了', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '\n', '兼任終了', '', '', '', '', '', '\n', 'へ移籍', '', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '\n', 'へ移籍', '', '', '', '', '\n', '海外留学中', '\n', '兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '', '', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '', '', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', '兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', '兼任', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '\n', '北海道', '\n', '青森', '（欠員）\n', '秋田', '\n', '岩手', '\n', '山形', '\n', '宮城', '\n', '福島', '\n', '茨城', '\n', '栃木・IZ*ONEメンバー・AKB48としての活動休止中', '\n', '群馬', '\n', '埼玉', '\n', '千葉', '\n', '東京', '\n', '神奈川', '（欠員）\n', '新潟', '\n', '山梨', '\n', '愛知', '（欠員）\n', '静岡', '\n', '岐阜', '（欠員）\n', '三重', '\n', '富山', '\n', '石川', '（欠員）\n', '福井', '\n', '長野', '\n', '大阪', '\n', '京都', '（欠員）\n', '兵庫', '\n', '和歌山', '\n', '奈良', '\n', '滋賀', '（欠員）\n', '鳥取', '\n', '島根', '（欠員）\n', '岡山', '\n', '広島', '\n', '山口', '\n', '徳島', '\n', '香川', '\n', '愛媛', '\n', '高知', '\n', '福岡', '\n', '佐賀', '\n', '長崎', '\n', '熊本', '\n', '大分', '（欠員）\n', '宮崎', '\n', '鹿児島', '\n', '沖縄', '\n', '岐阜', '\n', '福岡', '\n', '愛知', '\n', '長崎', '\n', '三重', '\n', '石川', '\n', '長野', '\n', '大分', '\n', '佐賀', '\n', '広島', '\n', '徳島', '\n', '島根', '\n', '福島', '\n', '高知', '\n', '山形', '\n', '鹿児島', '\n', '宮崎', '\n', '福井', '\n', '三重', '\n', '静岡', '\n', '岡山', '\n', '鳥取', '\n', '秋田', '\n', '新潟', '\n', '兵庫', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元3期', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元7期', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '期間限定加入', '', '\n', '現AKB48 Team TP', '\n', '現BNK48', '\n', '現SKE48', '\n', '現SKE48', '', '', '', '', '', '\n', '現SKE48', '', '', '\n', '現NMB48', '\n', '現NMB48', '\n', '現HKT48', '\n', '現SKE48', '\n', '現SKE48', '\n', '現HKT48（IZ*ONE）', '', '\n', '現HKT48（IZ*ONE）', '', '', '\n', '現JKT48', '\n', '現BNK48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '1. ', '2. ', '', '3. ', '4. ', '5. ', '6. ', '7. ', '8. ', '9. ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '劇場周年記念公演\n', '', '', '', '', '', '', '', '', '', '', '東日本大震災復興支援特別公演\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '4期生10周年公演', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '活動休止中', '\n', '警備担当', '', '\n', '公式ライバル', '', '', '\n', '契約違反により運営見直し', '', '', '\n', '改名', '\n', '活動終了', '', '', '', '', '', '\n', '活動開始前', '\n', 'TPE48の後継グループ', '\n', 'けやき坂46から改名', '\n', '活動開始前', '\n', '活動開始前', '\n', '活動開始前', '', '', '\n', 'NGT48劇場副支配人', '\n', 'HKT48劇場支配人', '\n', 'NMB48劇場支配人', '', '', '\n', '乃木坂46/欅坂46/日向坂46運営委員長', '', '', '', '', '', '', '', '\n', 'NGT48劇場支配人', '', '', '\n', 'STU48劇場支配人', '', '\n', 'JKT48スペシャルアドバイザー', '', 'ゼスト', '\n', '', '', '', 'STU', '\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '', '', '', '案内メニュー', '個人用ツール', '', '', '名前空間', '', '', '\n\n', '表示', '', '', '', '', '\n\n', 'エケペディア', '', '主要ページ', '', '', '', '', '', '', '', '', '', '', '', '', '48グループ（日本国内）', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '坂道シリーズ', '', '', '', '', '', '', '', '', '48グループ（日本国外）', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '編集者向け', '', '', '', '', '', 'ツール', '', '', '', '', '', '', '', 'その他のwiki', '', '', '', '', ' このページの最終更新日時は 2019年5月24日 (金) 10:57 です。', '', '', '', '', '\n ']}",19841206,A型,1期,宇佐美友紀,152.0,うさみ ゆき,ゆっき～,['バスプ所属'],埼玉県,20060331,,A,
0,"{'positive_description': ['趣味は、ヘアアレンジ\u3000猫と遊ぶ。', '特技は、早起き。食べ物の消化。日本の都道府県・県庁所在地暗記。ルービックキューブ。', '好きな食べ物は、チョコレート、生クリーム、お塩。'], 'negative_description': [], 'other_description': ['', '', 'Dream Factory', '', '会長はメイド様！ - 女子C 役', 'バクマン。 - 女子生徒 役', '', '絶対ヒーロー改造計画 - ドナリー・フィッシャー 役', '', '上村彩子の超ラジ！Rookie - メインパーソナリティ', 'A&G 超RADIO SHOW アニスパ！ ゲスト出演（ルーキーズ2期5名とともに）', 'おまかせ探偵☆のとまみこ - 角砂糖たま子 役で出演', 'ケータイラジオ館 - メインパーソナリティ', '', 'いつか天魔の黒ウサギ|いつか天魔の黒ウサギ2 �<<月>>が昇る昼休み - 酒井さとみ 役', '']}",19860207,,2期,上村彩子,148.0,うえむら あやこ,あやたん,['業務提携：コペル'],埼玉県,20060617,,K,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19920810,,3期,磯怜奈,,いそ れいな,,,東京都,20061219,,候補生,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19890207,,3期,大塚亜季,,おおつか あき,,,神奈川県,20061219,,候補生,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19900318,,3期,坂田涼,,さかた りょう,,,東京都,20061219,,候補生,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19900428,O型,3期,藤島マリアチカ,,ふじしま マリアチカ,,,千葉県,20061219,,候補生,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19930714,,3期,堀江聖夏,162.0,ほりえ みな,,['スプラウト所属'],東京都,20061219,,候補生,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19880721,,2期,高田彩奈,161.0,たかだ あやな,あやな,"['高田志織', ' (元SKE48)']",愛知県,20070622,高田志織,K,
0,"{'positive_description': [], 'negative_description': [], 'other_description': []}",19850417,,2期,今井優,152.0,いまい ゆう,ゆう,,埼玉県,20070622,,K,
0,"{'positive_description': [], 'negative_description': [], 'other_description': ['左利き。', '']}",19851119,B型,1期,星野みちる,153.0,ほしの みちる,ちるちる,['VIVID SOUND所属'],千葉県,20070626,,A,
