birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19841206,1期,宇佐美友紀,うさみ ゆき,ゆっき～,埼玉県,20060331,,A,,['バスプ所属'],0,A型,152.0,"{'positive_description': ['趣味は、お笑い鑑賞・アイドル研究。', '特技は、早起き。'], 'negative_description': [], 'other_description': ['', '', '\n', 'Dear my teacher - チームA名義', '', 'teamA 1st Stage 「PARTYが始まるよ」公演星の温度（1st UNIT）', '', '', 'M zip（元レギュラー、千葉テレビ放送）', 'ギャルギャル大図鑑（テレビ埼玉）', '', 'SPECIAL EDITION AKB48 「Memories」宇佐美友紀（2006年6月23日、AKS）', '宇佐美友紀 ～USAMISU～（2008年8月25日）', '', '広報みさと（2004年12月号）', '情報倫理教材パートII（2004年）', '', '', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', ' \n', '', '', '', '', '', '初期体制', '組閣後（2010年）体制', '組閣後（2013年）体制', '大組閣後（2014年）体制', '春の人事異動後（2015年）体制', '組閣後（2018年）体制', 'チーム8', 'バイトAKB', '主な元メンバー', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元3期生・チームB', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元4期生', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元チームB', '', '', '', '', '', '', '\n', 'SKE48へ移籍', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元4期生', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', 'HKT48へ移籍', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', 'ドラフト1位', '\n', 'ドラフト2位', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '\n', 'CGキャラクター', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '', '\n', '兼任終了', '\n', '兼任終了', '', '', '', '', '\n', '兼任終了', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '\n', '兼任', '', '', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '\n', '兼任', '', '', '', '', '\n', '兼任', '', '', '\n', '兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '兼任終了', '', '', '\n', '兼任終了', '', '', '', '', '', '\n', 'へ移籍', '', '', '', '', '\n', '兼任終了', '', '', '', '', '', '', '', '', '', '\n', 'へ移籍', '', '', '', '', '\n', '海外留学中', '\n', '兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '', '', '', '', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '', '', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', '兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', '兼任', '\n', 'チーム8兼任', '', '', '', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '\n', 'チーム8兼任', '', '', '', '', '', '', '\n', '北海道', '\n', '青森', '（欠員）\n', '秋田', '\n', '岩手', '\n', '山形', '\n', '宮城', '\n', '福島', '\n', '茨城', '\n', '栃木・IZ*ONEメンバー・AKB48としての活動休止中', '\n', '群馬', '\n', '埼玉', '\n', '千葉', '\n', '東京', '\n', '神奈川', '（欠員）\n', '新潟', '\n', '山梨', '\n', '愛知', '（欠員）\n', '静岡', '\n', '岐阜', '（欠員）\n', '三重', '\n', '富山', '\n', '石川', '（欠員）\n', '福井', '\n', '長野', '\n', '大阪', '\n', '京都', '（欠員）\n', '兵庫', '\n', '和歌山', '\n', '奈良', '\n', '滋賀', '（欠員）\n', '鳥取', '\n', '島根', '（欠員）\n', '岡山', '\n', '広島', '\n', '山口', '\n', '徳島', '\n', '香川', '\n', '愛媛', '\n', '高知', '\n', '福岡', '\n', '佐賀', '\n', '長崎', '\n', '熊本', '\n', '大分', '（欠員）\n', '宮崎', '\n', '鹿児島', '\n', '沖縄', '\n', '岐阜', '\n', '福岡', '\n', '愛知', '\n', '長崎', '\n', '三重', '\n', '石川', '\n', '長野', '\n', '大分', '\n', '佐賀', '\n', '広島', '\n', '徳島', '\n', '島根', '\n', '福島', '\n', '高知', '\n', '山形', '\n', '鹿児島', '\n', '宮崎', '\n', '福井', '\n', '三重', '\n', '静岡', '\n', '岡山', '\n', '鳥取', '\n', '秋田', '\n', '新潟', '\n', '兵庫', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元3期', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '元7期', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '期間限定加入', '', '\n', '現AKB48 Team TP', '\n', '現BNK48', '\n', '現SKE48', '\n', '現SKE48', '', '', '', '', '', '\n', '現SKE48', '', '', '\n', '現NMB48', '\n', '現NMB48', '\n', '現HKT48', '\n', '現SKE48', '\n', '現SKE48', '\n', '現HKT48（IZ*ONE）', '', '\n', '現HKT48（IZ*ONE）', '', '', '\n', '現JKT48', '\n', '現BNK48', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '1. ', '2. ', '', '3. ', '4. ', '5. ', '6. ', '7. ', '8. ', '9. ', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '劇場周年記念公演\n', '', '', '', '', '', '', '', '', '', '', '東日本大震災復興支援特別公演\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '4期生10周年公演', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '活動休止中', '\n', '警備担当', '', '\n', '公式ライバル', '', '', '\n', '契約違反により運営見直し', '', '', '\n', '改名', '\n', '活動終了', '', '', '', '', '', '', '\n', 'TPE48の後継グループ', '\n', 'けやき坂46から改名', '\n', '活動開始前', '\n', '活動開始前', '\n', '活動開始前', '', '', '\n', 'NGT48劇場副支配人', '\n', 'HKT48劇場支配人', '\n', 'NMB48劇場支配人', '', '', '\n', '乃木坂46/欅坂46/日向坂46運営委員長', '', '', '', '', '', '', '', '\n', 'NGT48劇場支配人', '', '', '\n', 'STU48劇場支配人', '', '\n', 'JKT48スペシャルアドバイザー', '', 'ゼスト', '\n', '', '', '', 'STU', '\n', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '\n', '', '', '', '', '', '', '', '', '', '', '', '案内メニュー', '個人用ツール', '', '', '名前空間', '', '', '\n\n', '表示', '', '', '', '', '\n\n', 'エケペディア', '', '主要ページ', '', '', '', '', '', '', '', '', '', '', '', '', '48グループ（日本国内）', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '坂道シリーズ', '', '', '', '', '', '', '', '', '48グループ（日本国外）', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '編集者向け', '', '', '', '', '', 'ツール', '', '', '', '', '', '', '', 'その他のwiki', '', '', '', '', ' このページの最終更新日時は 2019年5月24日 (金) 10:57 です。', '', '', '', '', '\n ']}"
19860207,2期,上村彩子,うえむら あやこ,あやたん,埼玉県,20060617,,K,,['業務提携：コペル'],0,,148.0,"{'positive_description': ['趣味は、ヘアアレンジ\u3000猫と遊ぶ。', '特技は、早起き。食べ物の消化。日本の都道府県・県庁所在地暗記。ルービックキューブ。', '好きな食べ物は、チョコレート、生クリーム、お塩。'], 'negative_description': [], 'other_description': ['', '', 'Dream Factory', '', '会長はメイド様！ - 女子C 役', 'バクマン。 - 女子生徒 役', '', '絶対ヒーロー改造計画 - ドナリー・フィッシャー 役', '', '上村彩子の超ラジ！Rookie - メインパーソナリティ', 'A&G 超RADIO SHOW アニスパ！ ゲスト出演（ルーキーズ2期5名とともに）', 'おまかせ探偵☆のとまみこ - 角砂糖たま子 役で出演', 'ケータイラジオ館 - メインパーソナリティ', '', 'いつか天魔の黒ウサギ|いつか天魔の黒ウサギ2 �<<月>>が昇る昼休み - 酒井さとみ 役', '']}"
19920810,3期,磯怜奈,いそ れいな,,東京都,20061219,,候補生,,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19890207,3期,大塚亜季,おおつか あき,,神奈川県,20061219,,候補生,,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19900318,3期,坂田涼,さかた りょう,,東京都,20061219,,候補生,,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19900428,3期,藤島マリアチカ,ふじしま マリアチカ,,千葉県,20061219,,候補生,,,0,O型,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19930714,3期,堀江聖夏,ほりえ みな,,東京都,20061219,,候補生,,['スプラウト所属'],0,,162.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19850720,1期,折井あゆみ,おりい あゆみ,あゆ姉,長野県,20070125,,A,,['フレイヴ エンターテインメント所属'],0,B型,162.0,"{'positive_description': ['趣味はカラオケ。', '特技は弓道。'], 'negative_description': ['好きな食べ物は、牛タン。嫌いな食べ物はメンマ。基本的に好き嫌いはないがメンマは食べず嫌いであり、本人曰く「メンマはふやけた割り箸」とのこと。'], 'other_description': ['夜景鑑賞士という資格を持っている。', 'AAAの宇野実彩子や川村ゆきえとは、何度も食事に行くくらい仲がいい。', '', '', 'クレヨンしんちゃん 嵐を呼ぶ 歌うケツだけ爆弾！（2007年4月21日公開、東宝）ひなげし歌劇団員（くらら）役の声優出演。', '美しき女豹 BODY SNIPER（2010年3月公開）', '鷲宮☆物語（2010年4月公開） - 小林あやめ 役', '', 'ホタルノヒカリ 第2話（2007年7月18日、日本テレビ）', 'ドラマ 鉄道むすめ -Girls be anbitious！- 第9・10話（2008年12月2日 - 9日放送、tvk/東名阪6局） - 曽我涼子 役', 'インディゴの夜 第4話（2010年1月8日、フジテレビ） - エリカ 役', '女帝 薫子 第2話 - 最終話（2010年5月2日 - 6月13日、テレビ朝日） - 和佳子 役', '', 'クレヨンしんちゃん（2007年3月16日、テレビ朝日）大島麻衣・今井優・野呂佳代・浦野一美と共に「クレヨンフレンズ from AKB48」として、オープニング曲『ユルユルでDE-O！』を歌う。', 'みつめて！信州生テレビ2010 (2010年9月25日、長野朝日放送）', '', 'INTERVAREW（エフエムインターウェーブ|インターFM）', 'Club333NigitViewDJ（東京タワー館内放送）', '', 'テレビ電話×AKB48 「振り付け」編等 （2006年、NTTドコモ）', '', 'SUZUKIスズキ・ワゴンR presents 喫茶ベルサイユ（2007年3月14日 - 5月7日、Yahoo！動画）', 'アメリカザリガニのアイドル★チェキ！II（2009年7月13日、GyaOジョッキー） - ゲスト出演', '', 'JIRO-CHO（2003年10月 - 11月、博品館劇場） - お結 役', 'となりの守護神（2008年2月1 - 7日、シアターサンモール） - 友子 役', '7@dash（2008年4月3日 - 6日、東京池袋シアターグリーン） - 女子高生・ちえちゃん 役', 'エブリ リトル シング（2008年7月11日 - 20日、紀伊国屋サザンシアター） - ※Aのみ出演', 'CLASSICS vol.2【新説・鬼娥島】【Cornelia】（2008年12月12 - 25日、東京芸術劇場小ホール1） - 【Cornelia】セレン 役', 'イタズラなkiss～卒業編～（2009年7月29日 - 8月9日、博品館劇場・新神戸オリエンタル劇場）', '海冥の城 白の姫君（2009年12月25日 - 27日、北沢タウンホール）', 'スペース・ウォーズ（2010年5月19日 - 6月13日、西鉄ホール）', 'スペース・ウォーズ再演（2010年7月22日 - 25日、東京グローブ座）', 'メンズ校（2010年8月5日 - 15日、博品館劇場） - 春島エリカ・鷹野エリカ 役', '', '勇敢な僕ら（『卒業』収録）', '']}"
19880721,2期,高田彩奈,たかだ あやな,あやな,愛知県,20070622,高田志織,K,,"['高田志織', ' (元SKE48)']",0,,161.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19850417,2期,今井優,いまい ゆう,ゆう,埼玉県,20070622,,K,,,0,,152.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
