active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
1,"{'positive_description': ['長所は、明るく誰とでも仲良くなれること。前向きな性格。人見知りをしない。', '趣味は、ダンス、カラオケ。', '特技は、開脚しながらの変顔、ダンス、開脚をしながら絵を描く。', '得意科目は、総合、体育。', '得意な作業は、動く事。', '好きな食べ物は、ピザ、きゅうりのぬか漬け。', '好きな言葉は、「努力は必ず報われる」。'], 'negative_description': ['短所は、おっちょこちょいな所。片づけが苦手。', '苦手科目は、数学。', '苦手な作業は、頭を使う事。', '嫌いな食べ物は、にんじん。'], 'other_description': ['元気であまり人見知りしない、負けず嫌いな性格。', '柏木曰く、「真面目で一生懸命で、感動しても、できなくても、なんでもすぐ泣くんですけど、その辺がすごくかわいい」。', '']}",19990216,A型,ドラフト 2期,荻野由佳,160.0,おぎの ゆか,おぎゆか,['ホリプロ所属'],埼玉県,20160110,,1期生,
1,"{'positive_description': ['長所は、笑っているところ。', '趣味は、ペットショップ巡り。みかん、えだまめを食べること。', '特技は、笑顔、太鼓。「小学生のとき、太鼓クラブで磐梯太鼓をやっていました」', '好きな食べ物は、みかん、えだまめ、お米。ポテト。', '好きな言葉は、「笑う門には福来る」。'], 'negative_description': ['短所は、ぐうたらしすぎるところ。', '嫌いな食べ物は、あんこ。'], 'other_description': ['柏木由紀によれば「愛嬌が素晴らしい」とのこと。「喋って動いているのを見て、より可愛さの伝わる子」、「NGTのTwitterで、一人で喋っている動画とかが、ホントに可愛い」と評し、その可愛さのあまり、思わず本人に「かわいいね」とLINEしたという。', '']}",20021215,B型,1期,小熊倫実,156.0,おぐま つぐみ,つぐみん,,新潟県,20160110,,1期生,
1,"{'positive_description': ['趣味は、カラオケ。「いろんな曲を歌います」', '特技は、ピアノ。ソフトボール。「ソフトボール部でポジションもいろんなところをやってました（笑）」', '好きな食べ物は、桃、フルーツ。', '好きな言葉は、「ありがとう」。'], 'negative_description': ['嫌いな食べ物は、肉、ピーナッツ系。'], 'other_description': ['短所は、人見知り、バカ、暗い、負けず嫌い。', '']}",20000622,A型,1期,角ゆりあ,154.0,かど ゆりあ,ゆーりん,,石川県,20180701,,1期生,
1,"{'positive_description': ['長所は、「1度決めたことは最後まで諦めずやり遂げられます。誰とでも仲良くなれます！」。', '趣味は、ダンス。バレーボール。', '特技は、ダンス、表現力。足でいないいないばー。', '得意科目は、家庭科。', '得意な作業は、裁縫。「細かい作業が好き」。', '好きな食べ物は、チェリー、枝豆。', '好きな言葉は、「努力、根性」。'], 'negative_description': ['短所は、「気になる人がいたらじーっと見つめて人間観察しちゃいます！」。', '苦手科目は、社会。', '苦手な作業は、「料理をやってるとすぐあきちゃいます」。', '嫌いな食べ物は、ゴーヤ。'], 'other_description': ['犬（トイプードル）を1匹飼っている。', '曰く、「私の握手会を見学して、学びたいという姿勢や、一緒に写真を撮ったら毎回すぐ送ってくれたり、「ありがとうございます」と言ったり、すごく礼儀正しくて、落ちてももう一回やるぞという、やる気のある、すごくいい子」。', '']}",20020206,A型,1期,日下部愛菜,158.0,くさかべ あいな,あいにゃー,,神奈川県,20180701,,1期生,
1,"{'positive_description': ['長所は、どんな場でも笑っていられるところ。', '趣味は、カラオケ、体を動かすこと。「絢香さんの曲をよく歌います」。', '特技は、スノーボード。歌うこと。', '好きな食べ物は、フルーツ全部、おつまみ系。', '好きな言葉は、「ずっと笑顔で」「爆笑」。'], 'negative_description': ['短所は、落ち着きがないところ。「よく親や先生に怒られます（笑）」。', '嫌いな食べ物は、セロリ、お肉の脂身のところ。'], 'other_description': ['は、「見た目が中学生にはとは見えないぐらい大人っぽくて、17、8歳ぐらいかなと思ってた」、佐藤の魅力については「すごくはっきり喋る子で、しっかり喋れるので、その若さとそのギャップ、見た目と喋り方のギャップ」と述べた。', '']}",20011105,A型,1期,佐藤杏樹,151.0,さとう あんじゅ,"['あんじゅ', 'シュガちゃん']",,新潟県,20160110,,1期生,
1,"{'positive_description': ['趣味は、ピアノ、歌うこと。', '特技は、誰よりも感情を込めて歌える。アクロバット。「習ってたわけじゃなくて、自分で動画を見てマネをしているうちで技ができるようになりました」。水泳。', '得意科目は、体育と音楽。', '得意な作業は、早くペットボトルの水をから（空）にできる。', '好きな食べ物は、トマト。', '好きな言葉は、「勇気は一瞬、後悔は一生」。'], 'negative_description': ['苦手科目は、体育と音楽以外。', '苦手な作業は、料理。「この前（バイトAKB時代）味見の時に髪の毛を燃やしちゃいました」。', '嫌いな食べ物は、辛いもの。'], 'other_description': ['長所は、負けず嫌い。集中力がある。', '短所は、人見知り、字が汚い。負けず嫌い。', '英検5級を取得。', '']}",20010419,O型,1期,清司麗菜,151.0,せいじ れいな,"['れいにゃー', 'れいな']",,埼玉県,20180630,,1期生,
1,"{'positive_description': ['長所は、「これから作っていきます」', '趣味は、読書（ホラー系）。', '特技は、ピアノを弾くこと。「6年くらい習っていました」。', '好きな食べ物は、しいたけ。', '好きな言葉は、「ネガティブ」、「ありがとう」。'], 'negative_description': ['短所は、ネガティブなところ。自分に自信がない。', '嫌いな食べ物は、レバー。'], 'other_description': ['']}",20010423,O型,1期,高倉萌香,158.0,たかくら もえか,"['もっちゃん', 'おかっぱ']",,新潟県,20160110,,1期生,
1,"{'positive_description': ['長所は、誰にでも話しかける。ポジティブ。', '趣味は、ショッピング、バレエ鑑賞。', '特技は、目玉リレー、炙りカルビゲーム。', '好きな食べ物は、アボカド、プリン、ソフトクリーム、お寿司。', '好きな言葉は、「努力」。'], 'negative_description': ['短所は、うるさい、落ち着きがない。', '嫌いな食べ物は、「とくにありません」'], 'other_description': ['']}",19970720,B型,1期,太野彩香,158.0,たの あやか,アヤカニ,,兵庫県,20160110,,1期生,
1,"{'positive_description': ['趣味は、歌うこと、テレビを見ること、メイクをすること、人間観察。', '特技は、絵を描くこと。メイク、歌うこと。', '好きな食べ物は、母の作る卵焼き。', '好きな言葉は、「度胸と愛嬌」。'], 'negative_description': ['短所は、緊張しやすい、わがまま、ネガティブ。', '嫌いな食べ物は、焼き魚。'], 'other_description': ['長所は、負けず嫌い。', '']}",19970823,A型,1期,中井りか,156.0,なかい りか,"['りかちゃん', 'りか姫']",['太田プロダクション所属'],富山県,20160110,,1期生,
1,"{'positive_description': ['長所は、よく笑うところ。', '趣味は、友達にちょっかい出すこと、カラオケ、遊ぶ、歌う。いたずら、アイドル鑑賞。', '特技は、ハイテンションな所、モノマネ、早口な所、5ミリくらい耳が動く、5年半くらい習っているテニス。歌。', '好きな食べ物は、納豆ご飯、エビチリ、牛タン。', '好きな言葉は、「清廉潔白」「七転八起」。'], 'negative_description': ['短所は、うるさい。', '嫌いな食べ物は、色の濃い野菜。'], 'other_description': ['ニコニコ動画のプレミアム会員であることを告白している。', '']}",19980728,AB型,1期,中村歩加,161.0,なかむら あゆか,あゆたろう,,新潟県,20180701,,1期生,
1,"{'positive_description': ['長所は、立ち直りが早い。', '趣味は、48グループの映像（DVDやテレビ）を観ること。', '特技は、人の顔を覚えること。剣道（初段）。', '好きな食べ物は、フライドポテト、お肉、りんご、アイス、トマトまた、「全部」とも。', '好きな言葉は、「感謝」。'], 'negative_description': ['短所は、滑舌が悪い。', '嫌いな食べ物は、「ありません」'], 'other_description': ['']}",19980320,A型,1期,奈良未遥,160.0,なら みはる,みはちゃん,,青森県,20180701,,1期生,
1,"{'positive_description': ['長所は、諦めない所。', '趣味は、ショッピング、カラオケ、映画鑑賞、猫と遊ぶこと。猫と遊ぶこと。', '特技は、諦めない所、モノマネ、ゴリラのものまね。変顔。', '得意科目は、英語。', '得意な作業は、絵を書く作業。', '好きな食べ物は、トマト、さくらんぼ。', '好きな言葉は、「一期一会」、「なりたかった自分になるのに遅すぎるということはない」。'], 'negative_description': ['短所は、ネガティブ。', '苦手科目は、国語。', '苦手な作業は、細かい作業。', '嫌いな食べ物は、納豆。'], 'other_description': ['左利き。', '英検3級を取得。', 'バイトAKB加入前は、飲食店で3年勤務。', '猫を6匹飼っている。', '']}",19951016,O型,ドラフト 2期,西潟茉莉奈,158.0,にしがた まりな,"['潟姉', 'がたねぇ']",,東京都,20160110,,1期生,
1,"{'positive_description': ['長所は、時間は必ず守る、遅刻しない。「周りに流されない所。あと弱音は絶対に吐きません」。', '趣味は、駅伝観戦、サッカー観戦、ダンス。', '特技は、箱根駅伝の歴代優勝校を全て言えること、ダンス（ヒップホップ、ジャズ、バレエなどいろいろな種類のものが踊れる）。「あと液体石鹸を補充するのが得意です！」。', '好きな食べ物は、アボカド、チーズ、明太子。', '好きな言葉は、「一期一会」。', '好きなおにぎりの具は、すじこ。'], 'negative_description': ['短所は、片づけが苦手。「整理整頓が苦手です。すぐ散らかしてしまいます」。', '嫌いな食べ物は、特になし。'], 'other_description': ['']}",19970811,O型,1期,西村菜那子,163.0,にしむら ななこ,"['なーちゃん', 'ななこ']",,長野県,20180630,,1期生,
1,"{'positive_description': ['長所は、何事もあきらめない、笑顔、ポジティブ。', '趣味は、ひなたぼっこ、映画鑑賞、散歩、バレエ。', '特技は、クラシックバレエ、スキー。', '好きな食べ物は、メロンパン、チョコ、オムライス。', '好きな言葉は、「a piece pf cake」（気楽に行こうという意味）。'], 'negative_description': ['短所は、わがまま、自由すぎる。', '嫌いな食べ物は、ゴーヤ。'], 'other_description': ['']}",19991110,B型,1期,本間日陽,159.0,ほんま ひなた,"['ひなたん', 'ひなひな']",,新潟県,20160110,,1期生,
1,"{'positive_description': ['長所は、流されにくいところ。', '趣味は、アイドル鑑賞、食べること。「部屋にはアイドルグッズだらけで、気持ち悪いってよく言われます（笑）」。', '特技は、徳川家の将軍の名前を全部言える。', '好きな食べ物は、チョコレート。', '好きな言葉は、「一石二鳥」。'], 'negative_description': ['短所は、人見知りするところ。', '嫌いな食べ物は、きのこ。'], 'other_description': ['']}",19970705,O型,1期,村雲颯香,163.0,むらくも ふうか,もふちゃん,['卒業予定（活動終了日未定）'],秋田県,20160110,,1期生,
1,"{'positive_description': ['長所は、「いつでも笑顔なところです!!」', '趣味は、音楽を聞くこと、食べること、髪型をアレンジすること、お話しすること。', '特技は、 書道、似てないモノマネ、のものまね（ボイスなど）、固いお尻。「みんな驚きます（笑）」。', '好きな食べ物は、スイカ、氷、アイス、フルーツ。', '好きな言葉は、「今日から君は噴水だ」。'], 'negative_description': ['短所は、眠いとき我慢できないこと、食べるのが遅いこと。'], 'other_description': ['']}",19991007,A型,1期,山田野絵,158.0,やまだ のえ,"['のえピー', 'のえ']",,埼玉県,20160110,,1期生,
1,"{'positive_description': ['趣味は、アニメ、マンガを見ること、料理、お菓子作り、歌うこと。お裁縫、音楽を聴くこと。', '特技は、ダンス、ブリッジ歩き、張りのある声、親指と人差し指で1cm幅を作ること。', '好きな食べ物は、杏仁豆腐、お肉、さきいか。', '好きな言葉は、「私は私らしく」。'], 'negative_description': ['短所は、泣き虫、忘れやすい、キレやすい。'], 'other_description': ['長所は、諦めないところ、負けず嫌い、明るい、喜怒哀楽があり、表情豊か。', '']}",20010113,AB型,ドラフト 3期,安藤千伽奈,155.0,あんどう ちかな,"['あんどぅー', 'ちぃ']",,長野県,,,,研
1,"{'positive_description': ['特技は、バドミントン。', '趣味は、音楽を聴くこと、身体を動かすこと。', '好きな食べ物は、チョコ、ラーメン。', '好きな言葉は、「やる前から諦めない」。'], 'negative_description': [], 'other_description': ['']}",20001107,A型,2期,大塚七海,,おおつか ななみ,"['ななち', 'ななみん']",,新潟県,,,,研
1,"{'positive_description': ['特技は、エレクトーン。', '趣味は、人間観察。', '好きな食べ物は、プリン、ケーキ、たまご。', '好きな言葉は、「絶対、確実」。'], 'negative_description': [], 'other_description': ['']}",20040626,A型,2期,小越春花,,おごえ はるか,"['こぱる', 'はるるん']",,新潟県,,,,研
1,"{'positive_description': ['趣味は、バトントワリング（8年やっている）。ランニング。', '特技は、アクロバットパフォーマンス（側宙、転宙できます！）。「前宙、側宙などアクロバット系。アクロバットには自信あります」。', '好きな食べ物は、マカロン、プチトマト。', '好きな言葉は、「敵は自分にあり」。'], 'negative_description': [], 'other_description': ['']}",19990115,O型,1期,加藤美南,152.0,かとう みなみ,かとみな,['2019年5月21日降格'],新潟県,,,,研
1,"{'positive_description': ['特技は、ギター。', '長所は、冷静なところ。', '趣味は、雑誌を読むこと。', 'メンバーからは、食べることが好きなので食いしん坊キャラと言われる。', '好きな食べ物は、お寿司、おでん、お肉。おでんが好きな理由は、美味しくて心が温かくなるから。', '好きな言葉は、「ありがとう」。', 'AKB48グループで好きな曲は、Maxとき315号。言い訳 Maybe。卒業旅行。'], 'negative_description': ['短所は、マイペース。', '嫌いな食べ物は、マヨネーズ。', '苦手なものは、ジェットコースターと高いところ。'], 'other_description': ['NGT48として、「バンドを組んでみたい」。', '将来の夢は、「素敵なアイドルになって、機会があればモデルさんのお仕事もしてみたいです」。', '']}",20001014,B型,2期,川越紗彩,162.0,かわごえ さあや,"['さあやん', 'さあや']",,茨城県,,,,研
1,"{'positive_description': ['特技は、腕相撲、鉄棒。', '趣味は、プリクラ。', '好きな食べ物は、メロン、ラーメン。', '好きな言葉は、「努力」。'], 'negative_description': [], 'other_description': ['']}",20040727,B型,2期,小見山沙空,,こみやま さら,さら,,新潟県,,,,研
1,"{'positive_description': ['長所は、明るい。', '趣味は、踊ること、ウィンドウショッピング。ザリガニの飼育、ドラゴンボールを見ること。', '特技は、Y字バランス。', '好きな食べ物は、ねぎとろ、梅干しおにぎり、ピーマンの肉詰め。', '好きな言葉は、「ありがとう！」。'], 'negative_description': ['短所は、へこたれる、泣き虫、漢字が弱い。'], 'other_description': ['']}",20000805,A型,ドラフト 3期,佐藤海里,157.0,さとう かいり,"['かいり', 'かいりん']",,新潟県,,,,研
1,"{'positive_description': ['長所は、ポジティブなところ。', '特技は、（股関節の）柔軟、太鼓、お菓子作り。', '趣味は、アイドル鑑賞、お菓子作り。', '好きな食べ物は、しその葉、シュークリーム。', '好きな言葉は、「みんながついてるよ」。'], 'negative_description': ['短所は、マイペースなところ。'], 'other_description': ['']}",20020316,AB型,2期,曽我部優芽,159.0,そがべ ゆめ,"['ゆめめ', 'ゆめたん']",,長野県,,,,研
1,"{'positive_description': ['長所は、諦めないところ。', '趣味は、歌、ダンス、おかし作り、お笑いをみること。', '特技は、ウグイスの鳴き真似、Y字バランス、ダンス。', '好きな食べ物は、さつまいも、抹茶、ずんだ。', '好きな言葉は、「素直」。'], 'negative_description': ['短所は、たまにネガティブになるところ。'], 'other_description': ['']}",20010707,O型,ドラフト 3期,高橋七実,161.0,たかはし ななみ,"['ななみぃ', 'ななみ']",,宮城県,,,,研
1,"{'positive_description': ['長所は、根性があるところ。', '趣味は、食べること、読書、絵を描くこと。', '特技は、ネックレスのチェーンの絡まりをほどく、津軽弁早口言葉。', '好きな食べ物は、茎わかめ、りんご、お米、トマト、みそ汁。', '好きな言葉は、人にやさしく自分にきびしく。'], 'negative_description': ['短所は、緊張しやすいところ。'], 'other_description': ['']}",20010820,O型,ドラフト 3期,對馬優菜子,157.0,つしま ゆなこ,"['ツナマヨ', 'ちゅしま']",,青森県,,,,研
1,"{'positive_description': ['特技は、なで肩にできる。', '趣味は、運動すること。', '好きな食べ物は、豆、かぼちゃ。', '好きな言葉は、「粘り強く！」。'], 'negative_description': [], 'other_description': ['']}",20040313,A型,2期,寺田陽菜,,てらだ ひな,"['ひななん', 'てらひな']",,新潟県,,,,研
1,"{'positive_description': ['特技は、料理。', '趣味は、カラオケ。', '好きな食べ物は、メロンパン。', '好きな言葉は、「天真爛漫」。'], 'negative_description': [], 'other_description': ['']}",20020716,A型,2期,富永夢有,,とみなが ゆう,ゆーちゃん,,新潟県,,,,研
1,"{'positive_description': ['長所は、風邪をひかない、やると決めたら諦めない。', '趣味は、キャンプ、テレビを見ること。カメラ。', '特技は、ヘアアレンジ、一輪車、茶道、魚をキレイに食べること、スキー。', '好きな食べ物は、バナナ、クロワッサン。', '好きな言葉は、「未来の夢が実るように」。'], 'negative_description': ['短所は、人見知り。'], 'other_description': ['']}",20001117,A型,ドラフト 3期,藤崎未夢,164.5,ふじさき みゆ,"['みゆみゆ', 'みーたん']",,新潟県,,,,研
1,"{'positive_description': ['特技は、テニス。', '趣味は、音楽鑑賞。', '好きな食べ物は、梅干し。', '好きな言葉は、「継続は力なり」。'], 'negative_description': [], 'other_description': ['']}",20001001,A型,2期,古澤愛,,ふるさわ まな,"['なーたん', 'まな']",,茨城県,,,,研
1,"{'positive_description': ['特技は、クラシックバレエ、ピアノ。', '趣味は、スクイーズ&スライムを集めること。', '好きな食べ物は、ブロッコリー、お肉。', '好きな言葉は、「ありがとう」「さっさといこう」。'], 'negative_description': [], 'other_description': ['']}",20040810,AB型,2期,古舘葵,,ふるたて あおい,あおちゃん,,東京都,,,,研
1,"{'positive_description': ['長所は、明るいところ。', '特技は、動物の絵を描くこと、物などに命を入れた絵を描くこと。', '趣味は、カラオケ、人と話すこと、犬と話すこと、犬とたわむれること。', '好きな食べ物は、ラーメン、オムライス、野菜、スイーツ。', '好きな言葉は、「夢は逃げない」。'], 'negative_description': ['短所は、マイナス思考。'], 'other_description': ['']}",19991108,A型,2期,真下華穂,161.0,ましも かほ,"['まっしー', 'ましもん']",,静岡県,,,,研
1,"{'positive_description': ['長所は、気が長いところ。', '特技は、歌うこと、猫の鳴き真似。', '趣味は、ミュージカル鑑賞。', '好きな食べ物は、プリン、マカロン、お母さんが作ったハヤシライス。', '好きな言葉は、「雨垂れ石を穿つ」。'], 'negative_description': ['短所は、靴を履くのが苦手なところ。'], 'other_description': ['']}",20020615,O型,2期,三村妃乃,158.0,みむら ひの,ひのちゃん,,埼玉県,,,,研
1,"{'positive_description': ['特技は、ダンス。セクシーなダンスが好きで、ではのダンスが好き。', '長所は、テンションMAX。', '趣味は、ダンス、犬と寝ること。', '好きな食べ物は、お肉。お肉が好きな理由は、豚も牛も鶏もいろいろな味を楽しめてとにかく美味しいから。パンダ焼き。おすすめの味はカスタードクリーム。彌彦神社前で売っているこんにゃく。辛い食べ物。', '怖い番組が大好きで、小さい頃に録画を忘れて泣いたことがある。ただし一人で見るのは無理とのこと。お化け屋敷も好きである。', '好きな言葉は、「魅了」。', 'AKB48グループで好きな曲は、「大人になる前に」。「絶滅黒髪少女」。'], 'negative_description': ['短所は、根に持ってしまうところ。', '苦手なものは、勉強。蜘蛛。', '嫌いな食べ物は、セロリ。'], 'other_description': ['父もヒップホップダンスをやっている。', 'トランペットを吹ける。。', 'おすすめの弥彦村のスポットは、弥彦山、小学校の時に２回登っている。彌彦神社、NGT48２期生オーディションを受ける前に合格を祈願した。弥彦公園、おすすめは秋の紅葉と夏のホタル。', '愛犬はマルチーズと柴犬。マルチーズの名前はエルモ。毎日一緒に寝ている。柴犬の名前はニコ。女の子とのこと。', 'メンバーからは、変人でうるさいと言われる。自分でうるさいことはわかっている。', 'NGT48でやりたいことは、ダンスで何かを行うこと。演劇。', '将来の夢は、テーマパークのダンサー。', '']}",20030104,A型,2期,諸橋姫向,157.0,もろはし ひなた,"['ぴなちょこ', 'もろぴな']",,新潟県,,,,研
