birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19990216,ドラフト 2期,荻野由佳,おぎの ゆか,おぎゆか,埼玉県,20160110,,1期生,,['ホリプロ所属'],1,A型,160.0,"{'positive_description': ['長所は、明るく誰とでも仲良くなれること。前向きな性格。人見知りをしない。', '趣味は、ダンス、カラオケ。', '特技は、開脚しながらの変顔、ダンス、開脚をしながら絵を描く。', '得意科目は、総合、体育。', '得意な作業は、動く事。', '好きな食べ物は、ピザ、きゅうりのぬか漬け。', '好きな言葉は、「努力は必ず報われる」。'], 'negative_description': ['短所は、おっちょこちょいな所。片づけが苦手。', '苦手科目は、数学。', '苦手な作業は、頭を使う事。', '嫌いな食べ物は、にんじん。'], 'other_description': ['元気であまり人見知りしない、負けず嫌いな性格。', '柏木曰く、「真面目で一生懸命で、感動しても、できなくても、なんでもすぐ泣くんですけど、その辺がすごくかわいい」。', '']}"
20021215,1期,小熊倫実,おぐま つぐみ,つぐみん,新潟県,20160110,,1期生,,,1,B型,156.0,"{'positive_description': ['長所は、笑っているところ。', '趣味は、ペットショップ巡り。みかん、えだまめを食べること。', '特技は、笑顔、太鼓。「小学生のとき、太鼓クラブで磐梯太鼓をやっていました」', '好きな食べ物は、みかん、えだまめ、お米。ポテト。', '好きな言葉は、「笑う門には福来る」。'], 'negative_description': ['短所は、ぐうたらしすぎるところ。', '嫌いな食べ物は、あんこ。'], 'other_description': ['柏木由紀によれば「愛嬌が素晴らしい」とのこと。「喋って動いているのを見て、より可愛さの伝わる子」、「NGTのTwitterで、一人で喋っている動画とかが、ホントに可愛い」と評し、その可愛さのあまり、思わず本人に「かわいいね」とLINEしたという。', '']}"
20000622,1期,角ゆりあ,かど ゆりあ,ゆーりん,石川県,20180701,,1期生,,,1,A型,154.0,"{'positive_description': ['趣味は、カラオケ。「いろんな曲を歌います」', '特技は、ピアノ。ソフトボール。「ソフトボール部でポジションもいろんなところをやってました（笑）」', '好きな食べ物は、桃、フルーツ。', '好きな言葉は、「ありがとう」。'], 'negative_description': ['嫌いな食べ物は、肉、ピーナッツ系。'], 'other_description': ['短所は、人見知り、バカ、暗い、負けず嫌い。', '']}"
20020206,1期,日下部愛菜,くさかべ あいな,あいにゃー,神奈川県,20180701,,1期生,,,1,A型,158.0,"{'positive_description': ['長所は、「1度決めたことは最後まで諦めずやり遂げられます。誰とでも仲良くなれます！」。', '趣味は、ダンス。バレーボール。', '特技は、ダンス、表現力。足でいないいないばー。', '得意科目は、家庭科。', '得意な作業は、裁縫。「細かい作業が好き」。', '好きな食べ物は、チェリー、枝豆。', '好きな言葉は、「努力、根性」。'], 'negative_description': ['短所は、「気になる人がいたらじーっと見つめて人間観察しちゃいます！」。', '苦手科目は、社会。', '苦手な作業は、「料理をやってるとすぐあきちゃいます」。', '嫌いな食べ物は、ゴーヤ。'], 'other_description': ['犬（トイプードル）を1匹飼っている。', '曰く、「私の握手会を見学して、学びたいという姿勢や、一緒に写真を撮ったら毎回すぐ送ってくれたり、「ありがとうございます」と言ったり、すごく礼儀正しくて、落ちてももう一回やるぞという、やる気のある、すごくいい子」。', '']}"
20011105,1期,佐藤杏樹,さとう あんじゅ,"['あんじゅ', 'シュガちゃん']",新潟県,20160110,,1期生,,,1,A型,151.0,"{'positive_description': ['長所は、どんな場でも笑っていられるところ。', '趣味は、カラオケ、体を動かすこと。「絢香さんの曲をよく歌います」。', '特技は、スノーボード。歌うこと。', '好きな食べ物は、フルーツ全部、おつまみ系。', '好きな言葉は、「ずっと笑顔で」「爆笑」。'], 'negative_description': ['短所は、落ち着きがないところ。「よく親や先生に怒られます（笑）」。', '嫌いな食べ物は、セロリ、お肉の脂身のところ。'], 'other_description': ['は、「見た目が中学生にはとは見えないぐらい大人っぽくて、17、8歳ぐらいかなと思ってた」、佐藤の魅力については「すごくはっきり喋る子で、しっかり喋れるので、その若さとそのギャップ、見た目と喋り方のギャップ」と述べた。', '']}"
20010419,1期,清司麗菜,せいじ れいな,"['れいにゃー', 'れいな']",埼玉県,20180630,,1期生,,,1,O型,151.0,"{'positive_description': ['趣味は、ピアノ、歌うこと。', '特技は、誰よりも感情を込めて歌える。アクロバット。「習ってたわけじゃなくて、自分で動画を見てマネをしているうちで技ができるようになりました」。水泳。', '得意科目は、体育と音楽。', '得意な作業は、早くペットボトルの水をから（空）にできる。', '好きな食べ物は、トマト。', '好きな言葉は、「勇気は一瞬、後悔は一生」。'], 'negative_description': ['苦手科目は、体育と音楽以外。', '苦手な作業は、料理。「この前（バイトAKB時代）味見の時に髪の毛を燃やしちゃいました」。', '嫌いな食べ物は、辛いもの。'], 'other_description': ['長所は、負けず嫌い。集中力がある。', '短所は、人見知り、字が汚い。負けず嫌い。', '英検5級を取得。', '']}"
20010423,1期,高倉萌香,たかくら もえか,"['もっちゃん', 'おかっぱ']",新潟県,20160110,,1期生,,,1,O型,158.0,"{'positive_description': ['長所は、「これから作っていきます」', '趣味は、読書（ホラー系）。', '特技は、ピアノを弾くこと。「6年くらい習っていました」。', '好きな食べ物は、しいたけ。', '好きな言葉は、「ネガティブ」、「ありがとう」。'], 'negative_description': ['短所は、ネガティブなところ。自分に自信がない。', '嫌いな食べ物は、レバー。'], 'other_description': ['']}"
19970720,1期,太野彩香,たの あやか,アヤカニ,兵庫県,20160110,,1期生,,,1,B型,158.0,"{'positive_description': ['長所は、誰にでも話しかける。ポジティブ。', '趣味は、ショッピング、バレエ鑑賞。', '特技は、目玉リレー、炙りカルビゲーム。', '好きな食べ物は、アボカド、プリン、ソフトクリーム、お寿司。', '好きな言葉は、「努力」。'], 'negative_description': ['短所は、うるさい、落ち着きがない。', '嫌いな食べ物は、「とくにありません」'], 'other_description': ['']}"
19970823,1期,中井りか,なかい りか,"['りかちゃん', 'りか姫']",富山県,20160110,,1期生,,['太田プロダクション所属'],1,A型,156.0,"{'positive_description': ['趣味は、歌うこと、テレビを見ること、メイクをすること、人間観察。', '特技は、絵を描くこと。メイク、歌うこと。', '好きな食べ物は、母の作る卵焼き。', '好きな言葉は、「度胸と愛嬌」。'], 'negative_description': ['短所は、緊張しやすい、わがまま、ネガティブ。', '嫌いな食べ物は、焼き魚。'], 'other_description': ['長所は、負けず嫌い。', '']}"
19980728,1期,中村歩加,なかむら あゆか,あゆたろう,新潟県,20180701,,1期生,,,1,AB型,161.0,"{'positive_description': ['長所は、よく笑うところ。', '趣味は、友達にちょっかい出すこと、カラオケ、遊ぶ、歌う。いたずら、アイドル鑑賞。', '特技は、ハイテンションな所、モノマネ、早口な所、5ミリくらい耳が動く、5年半くらい習っているテニス。歌。', '好きな食べ物は、納豆ご飯、エビチリ、牛タン。', '好きな言葉は、「清廉潔白」「七転八起」。'], 'negative_description': ['短所は、うるさい。', '嫌いな食べ物は、色の濃い野菜。'], 'other_description': ['ニコニコ動画のプレミアム会員であることを告白している。', '']}"
19980320,1期,奈良未遥,なら みはる,みはちゃん,青森県,20180701,,1期生,,,1,A型,160.0,"{'positive_description': ['長所は、立ち直りが早い。', '趣味は、48グループの映像（DVDやテレビ）を観ること。', '特技は、人の顔を覚えること。剣道（初段）。', '好きな食べ物は、フライドポテト、お肉、りんご、アイス、トマトまた、「全部」とも。', '好きな言葉は、「感謝」。'], 'negative_description': ['短所は、滑舌が悪い。', '嫌いな食べ物は、「ありません」'], 'other_description': ['']}"
19951016,ドラフト 2期,西潟茉莉奈,にしがた まりな,"['潟姉', 'がたねぇ']",東京都,20160110,,1期生,,,1,O型,158.0,"{'positive_description': ['長所は、諦めない所。', '趣味は、ショッピング、カラオケ、映画鑑賞、猫と遊ぶこと。猫と遊ぶこと。', '特技は、諦めない所、モノマネ、ゴリラのものまね。変顔。', '得意科目は、英語。', '得意な作業は、絵を書く作業。', '好きな食べ物は、トマト、さくらんぼ。', '好きな言葉は、「一期一会」、「なりたかった自分になるのに遅すぎるということはない」。'], 'negative_description': ['短所は、ネガティブ。', '苦手科目は、国語。', '苦手な作業は、細かい作業。', '嫌いな食べ物は、納豆。'], 'other_description': ['左利き。', '英検3級を取得。', 'バイトAKB加入前は、飲食店で3年勤務。', '猫を6匹飼っている。', '']}"
