birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19981012,2期,石田優美,いしだ ゆうみ,ゆうみん,兵庫県,20150204,,N,,['チームN副キャプテン'],1,B型,159.0,"{'positive_description': ['趣味は、絵を描く事、雑誌を見る事。', '特技は、ダンス。「本格的に始めて2年ちょっとになります。HIPHOPよりJAZZの方が得意です」。「上手い子もいるけど、ダンスなら負けないです」。「うーん、誰にも負けないまではいかないけど、やっぱりダンスが好き♪\u3000特技にしていい位、もっと頑張ります！」', '好きな（得意な）スポーツは、「最近スポーツしてないですね。バスケットかなぁ。NMB全員でスポーツ大会したいですね！」', '得意な教科は、「最近、数学がとけるようになって面白いかも！って思えて来ました。☆でも、美術かな(笑)」', '好きな食べ物は、パスタ、パイナップル。カニ。手羽先。以前のプロフィールでは、りんご、チキン。', '好きな果物は、パイナップル。イチゴ。', '好きな色は、黄色。', '好きなアニメは、「（クレヨン）しんちゃん、ドラえもん！ちびまる子ちゃん、サザエさん（笑）」', '好きなキャラクターは、コリラックマ。'], 'negative_description': ['嫌いな食べ物は、ピーマン、なすび、キノコ、にんじん、玉ねぎ。ゴーヤ。'], 'other_description': ['性格は、「メンバーからは、ツンデレって言われます」。また、「私けっこう、キレやすいっていうか（笑）、すぐ怒っちゃうタイプなんですよ。ちょっとしたことで『チェッ、なんやねん』って感じになっちゃいますね」', '昔は、泣き虫だった。「私、昔はめっちゃ泣き虫やったんですよ。ちょっと驚かせただけで泣くし、オバケっていう存在がほんまに怖くて、誰かがいないとトイレにも行けないし、お風呂にもいけないし、寝るときもムリです。でも今はそんなことないです。大人になりました（笑）」', '滑舌が悪いことを自認しており、滑舌が悪いことで定評のあるが、Google+において独断で選出した「噛み7」（と掛けている）入りをアピールし、認められて選抜入りした（石田を含め8人となったため、後に「滑舌選抜」と改名。を参照）。', '中学校時代は帰宅部。', '癖は、「最近なおったけど、目をパチパチしちゃう。花粉症かもって言われたけど、原因がわかりません」', '犬を飼っている。名前は「リン」。', '']}"
19930809,ドラフト 1期,磯佳奈江,いそ かなえ,いそちゃん,茨城県,20140125,,N,,['卒業予定（活動終了日未定）'],1,B型,151.5,"{'positive_description': ['趣味は、映画鑑賞、テレビ、カラオケ、アイドル鑑賞。', '特技は、サッカー、携帯の早打ち。\n', '好きな食べ物は、焼肉と苺、乳酸菌飲料、フライドポテト（細いポテトに限る）、もつ鍋、ラーメン、唐揚げ、チョコレート。', '好きな色は、黄色と赤。「でも、なんだかピンクの持ち物が多くなってしまうんですよね。なんでだろう笑」', '好きな服装は、ガーリッシュ系の服。', '好きなキャラクターは、ディズニー系。', '好きなアニメは、「コナンくん！全部の映画見てるぐらい大好きで、ルパンとの映画は最高」', '好きなアーティストは、E-gilrs、ももいろクローバーZ。「結構いろいろなジャンルの方が、好きです」。', '好きな動物は、犬。「家では犬を2匹飼ってます」', 'NMB48の好きな曲は、『太宰治を読んだか?』', '好きな言葉は、「大丈夫」。'], 'negative_description': ['水泳が苦手。'], 'other_description': ['小学生時代は前述の京川と同じサッカーチームでプレー。ポジションはDF（右サイドバック）。現在は競技は引退しており、鹿島アントラーズのファンでもある。', 'による性格評。「こころちゃんに頼りになるって言ってもらえました！でも子供っぽいところもあるって（笑）」', '兄、弟の3人兄弟。兄は地元のサッカークラブ・石岡アセンブルFCのコーチ。その影響もあって男の子っぽい性格。', '右利き。', '視力が悪く、普段はコンタクト、眼鏡を使用している。', '50m走の自己ベストは、7秒3。「もうこんな記録はでないな」', 'やっていた習い事は、サッカー、そろばん、習字、英会話、塾。', '大学では、中国語を履修していた。', 'アルバイト経験が広く、ラーメン店、ステーキハウス、コンビニの接客、デパートの接客をしたことがある。', '得意料理は、オムライス。「でも、卵苦手なんで中身だけ！」', '']}"
19991201,3期,太田夢莉,おおた ゆうり,ゆーり,奈良県,20121010,,N,,,1,AB型,163.0,"{'positive_description': ['長所は、料理ができる。', '趣味は、ケータイ小説、買い物、美味しい物を食べる。アニメを見る事、音楽を聞く事。', '好きなキャラクターは、キティーちゃん、ラフスケッチ。', '特技は、文字の早打ち、遊ぶ予定を立てるときの計画性。料理。「でもねー最近 料理してないから心配」', '得意教科は、「ありませんっ！ しいて言うなら家庭科」「ありません！\u3000でも、授業で好きなのは美術」', '好きな食べ物は、アサイーボウル。いちご、キウイ、わたあめ。', '好きな果物は、イチゴ、マンゴー みかん。キウイ、イチゴ。', '好きな野菜は、とうもろこし、なすび。', '好きな色は、ピンク。「最近、蛍光色も好きです」', '好きなブランドは、INGNI、CHUXXX。', '好きな言葉は、「夢」。', '好きな数字は、12、7。', '好きな男性のタイプは、料理が上手な人。'], 'negative_description': ['苦手な事は、水泳、鉄棒（←今だに前回りできません！）。', '嫌いな食べ物は、グリンピース、レーズン、黒糖。'], 'other_description': ['おすすめのアニメは、『けいおん！』『キルミイベイベー』', '']}"
19941004,4期,大段舞依,おおだん まい,まいち,兵庫県,20150204,大段結愛,N,,,1,A型,155.0,"{'positive_description': ['趣味は、料理。得意料理は、コーンクリームパスタ。', '特技は、おすしをいっぱい食べること。', '好きなスポーツは、「いろいろ得意やから、いろんなスポーツ大好きです！」', '好きな食べ物は、エビ、おすし、パイナップル。クッキー。', '特に、エビに関しては大好きと公言しており、様々なこだわりがある模様。以下、逸話。\n', '「お寿司で生のエビにあう甘ダレ（アナゴなどにつける「つめ」のこと）をつけて食べるのが大好き」とのこと。「甘だれとエビは、この世にないとダメなんです（笑）」', 'また、生エビの方が好みである理由は「甘エビもおいしいんですけど、ちょっと物足りないんですよ。噛んだときにプリッてなる食感がめっちゃ好きで、あれなら20皿くらいは余裕で食べられるぐらい好きなんです！」「普通のゆでたエビは食べてからシッポを取るんですけど、生エビは、先にシッポをとってからお寿司を食べて、あとでちょっと身の残った尻尾のところを食べるのが好きなんです」', '「伊勢海老も好きやけど、やっぱり車も……いや、エビは全部好きです。もう、浮気できないです。（芝エビでもパナメイでも、ブラックタイガーでも？）もう何でも好きです！エビのこと思い出すだけでうれしいです。にやってしちゃいます（笑）」', '好きなキャラクターは、キティちゃん。幼稚園の時から。', '好きなアーティストは、RSP。', '好きな芸能人は、SHELLY、ローラ、木下優樹菜。', '好きな芸人は、チュートリアル、パンサー。', '好きな色は、ピンク。大段の部屋は、カーテン、タンス、カーペット、ベッドに至るまでピンク色のものであふれている。', '好きなサイリウムの色は、ピンクと緑。'], 'negative_description': [], 'other_description': ['入っていた部活は、中学校は「バレー部の先輩と喧嘩しちゃって卓球部 友達と入った！！」、高校は「何にもしてなかったよ♪」', 'NMB48加入前は、居酒屋でアルバイト経験がある。', '']}"
20020518,ドラフト 3期,河野奈々帆,かわの ななほ,ななほ,大阪府,20190301,,N,,,1,A型,162.0,"{'positive_description': ['趣味は、食べること、読書、ダンス、ホラーゲームを見ること、大きな声で歌うこと。', '特技は、ロンダート、早食い、歌舞伎目、ゲーム、ダンス、首回し、けん玉。', '好きな食べ物は、和菓子、マシュマロ、チョコ、オムライス。'], 'negative_description': ['短所は、涙もろい、地声が低い。'], 'other_description': ['長所は、負けず嫌い、責任感が強い。', '将来の夢は、シンガーソングライター。', '']}"
19981217,4期,川上千尋,かわかみ ちひろ,ちっひー,大阪府,20140224,,N,,['チームNキャプテン'],1,A型,154.0,"{'positive_description': ['特技は、フィギュアスケート。\n', '現在は趣味で続けており、Google+の動画投稿で「フライングシットスピン」を披露。フォロワー数が一気に増えたとのこと。', '趣味は、いろんなパックを試すこと、野球観戦、音楽鑑賞、ドラマ鑑賞、ウィンドウショッピング、ファッション雑誌を見ること。', '好きな食べ物は、お母さんの作ったハンバーグと野菜の肉巻き、果物。ハンバーグ、お寿司、チーズ、桃。', '好きな動物は、かめ、ヒヨコ、虎。', '好きな色は、白、水色、ピンク、紫。', '好きな四字熟語は、「七転八起」。'], 'negative_description': ['感情表現が苦手。「なんか、笑顔でいなきゃいけないような場面でも、自分だけ、こうしてたら目立つんじゃないか、ってひとりツーンってしてたりとか。めっちゃたまにですけど。表情を表に出すのが苦手で、公演でもよく言われるんですよ。だから、表情をもっと出していきたいですね。最初のころは、めっちゃレッスンとかでも指摘されてて。同期のメンバーの中でもひとりだけ表情に関しては置いてけぼり、みたいな感じになってました。最近やっと、「まだましやな」って言われるようになったんですけど……」', '苦手な教科は、数学、理科。'], 'other_description': ['性格は、天邪鬼。「分では……けっこう、なんやろ、あまのじゃくって言われますね（笑）。自分が思ってるのと違うことを伝えちゃうって言うか、よくウソついちゃうんですよ（笑）。好きやのに「嫌い」って言ったり（笑）。なんでか言っちゃうんですよ。ちっちゃい頃からお母さんにもよく『あまのじゃくやね』って言われてました。最近やっと『そうなのかなあ？』って自覚し始めて（笑）。なんか、友達と『私のこと好きやろ？』みたいな、言い合ってたんですよ、遊びで。でもそんなこと言うの照れるじゃないですか（笑）。好きっていう気持ちを表に出すのがイヤで、だから、『嫌いやで（笑）』みたいな。笑いながら言っちゃうんですよね」', '小学校1年から中学校2年まで8年間、本格的に習っていた。日曜以外、毎日練習の日々であったという。なお、ホームリンクは町田樹が滑っていたスケート場で、川上を指導したコーチは町田も指導していた。', 'フィギュアを始めたきっかけ。「家族でスケート場に遊びに行ったんですよ。その時は楽しくて、家に帰ったらお母さんに『習ってみいひん？』って言われて、仕方なくというか（笑）。最初はそんな感じで、楽しくて始めたんですけど、やっぱり楽しいだけじゃなくて、厳しい世界でもありましたね」', '「全関西フィギュアスケート選手権」で、2位になったことがある。', '阪神タイガースのファン。前述の薮下や家族とともに、阪神甲子園球場や京セラドーム大阪で、阪神のホームゲームをたびたび観戦している。', '']}"
19980915,5期,清水里香,しみず りか,りかてぃー,千葉県,20171012,,N,,,1,O型,160.0,"{'positive_description': ['好きな食べ物は、干物（イカの干物）、梅干し。', '趣味は、カラオケ、外で体を動かす、ギター、写真を撮る。', '特技は、ギター、側転、ダンス、人見知りをしないこと。\n'], 'negative_description': [], 'other_description': ['ギターはNMB48加入時点で6年経験があり、中学校の時に軽音楽部に入っていた。', '']}"
19981006,ドラフト 1期,武井紗良,たけい さら,さららん,大阪府,20140125,,N,,,1,O型,160.0,"{'positive_description': ['趣味は、食品サンプルあつめ。YouTubeで音楽をかけて踊ること。', '特技は、ダンス。ワック、ロック、ヒップホップダンスを習っていた。', '好きな食べ物は、生魚。お刺身、フルーツタルト、スイカ。', '好きな動物は、ハムスター。家でもハムスターを飼っており、名前はハムちゃん（本名は、ハムナプトラ）。', '好きなブランドは、イングリ。', '好きな色は、ピンクと、黄色。', '好きなサイリウムの色は、ピンク。', '好きな柄は、ヒョウ柄（ピンク）と、ストライプ。', '好きなキャラクターは、ディズニーのキャラと、スヌーピー。', '好きな言葉は、「ありがとう」', 'ユニコーンをモチーフにしたアイテムが好きで、カバンなど複数を所持している。', 'お菓子作りが得意で、メンバーに作ってあげている。'], 'negative_description': ['スポーツは基本、苦手。', '苦手な食べ物は、キノコ類。'], 'other_description': ['やってみたいユニットは、『天国野郎』', '左利き。', '']}"
19951205,2期,谷川愛梨,たにがわ あいり,あいり,大阪府,20120126,,N,,,1,O型,158.0,"{'positive_description': ['性格は、元気で明るくて、人を笑わせたり笑顔にするのが大好き', '趣味は、毎日お笑い動画を沢山見る事。', '特技は、メンサ、ヌンチャク、ブラインドタッチ、一輪車、ジャグリング。', '好きな食べ物は、生クリーム、エビ、茶碗蒸し。', '好きな言葉は、「継続は力なり」。', '好きな歌手は、「西野カナさん。中でも『君って』。JUJUさん。中でも『また明日』という曲が好きです」。', '好きな歌は、ラップ系。', '好きな曲は、AquaTimezの『等身大のラブソング』。', 'AKB48で好きな曲は、『bird』、『Blue rose』。', '好きな遊びは、カラオケと映画と遊園地。', '好きなキャラクターは、キティちゃん。マイメロ。', '好きなブランドは、「特にこだわリませんが、LizLisaとIatestは好きです」', '好きなテレビ（番組）は、サスペンスドラマ。', '好きな色は、ピンク。黒。'], 'negative_description': ['嫌いなスポーツは、ドッジボール。', '苦手な食べ物は、たまご焼き。'], 'other_description': ['口癖は、「まぢで!?」「おう」。', '毎日絶対に食べる物・飲む物は、茶碗蒸し、サラダ、生クリーム、ココア。', '「チャビー」というトイプードルを飼っている。', '子供は3人くらい欲しい。自分の子供に付けたい名前は、女の子なら「心愛（ココア）」で、男の子なら「蒼空（そら）」。', '']}"
19990727,2期,西澤瑠莉奈,にしざわ るりな,るりりん,大阪府,20150204,,N,,,1,B型,164.0,"{'positive_description': ['わがままに関する幼少期の逸話。「ほんまに。ああしたい、こうしたい、っていうのが多いです。好き勝手したがるタイプです。昔っからわがままだったみたいです。お母さんには、『全然代わらない、成長しない』って言われます（笑）」「んーっと……なんか、絶対に、お母さんに頼むんですよ、『○○して』みたいな。で、お母さんが『ムリ』っていうと泣き叫ぶ、みたいな（笑）。ちっちゃい時の話なんですけど。泣いて叫んで、駄々こねる感じの。動物の、シルバニアファミリーってあるじゃないですか、あれのいろんな、おうちとか人形とか、家具とかを、あれこれ欲しいほしいって言ってたらしいです。かわいいのが好きで。（おもちゃ屋さんに行ったときに、シルバニアファミリーのコーナーの前で泣くんですか？）そう、その場で怒るらしいです（笑）」「今はそんなにひどくないですけど、お母さんとショッピング行ってて、『あれ欲しい！』、『今はムリかな』みたいになると、『ふーん……』ってちょっと機嫌悪くなる感じですね。でも、とりあえずガマンします。（何歳くらいで覚えましたか？） つい最近だと思います（笑）。今中2ですけど、小学校高学年くらいで（笑）」', '趣味は、ショッピング、携帯小説。サッカー観戦。', '小学生の頃からガンバ大阪のファンで、練習着にもガンバのユニフォームを着用するほど。好きな選手は、遠藤保仁。「サッカー上手で周りをよくみている！」、宇佐美貴史、藤ヶ谷陽介。', '特技は、絵を描くこと、寝ること。ギャーギャー騒いでテンションを上げること。', '好きな教科は、体育。「体を動かすのが楽しいから♪」', '好きなスポーツは、サッカー、水泳。', '好きな食べ物は、焼き肉、お菓子。甘いスイーツ。', '48グループ以外で好きな曲は、『魂のルフラン』（高橋洋子）', '好きなペンライトの好きな色は、「青に決まってんじゃん♪\u3000(*^o^*)」', '好きな男性のタイプは、「優しくて、ちょっとイジワルな人(o^∀^o)ウフ♪\u3000好きなもの、タイプは変わるんで、今のところは！と思っていてください！」', '自身と母は動物好きということもあり、ペットを多く飼っている。内訳は犬3匹（「ティアラ」、「ジュエル」、「レイ」）、文鳥2羽（「パール」、「メラナイト」）、ハリネズミ1匹（「アンジュ」）、トカゲ1匹（「アレス」）（2014年3月現在）。「ボンちゃん（ボンバー）」というハリネズミを飼っていたが、2013年に死亡している。なお、現在飼っている「アンジュ」は「ボンバー」の嫁だったとのこと。'], 'negative_description': [], 'other_description': ['性格は、「わがまま＆激辛甘えんぼー」。\n', '握手会で、男装を披露したが、メンバーやスタッフから「イケメン」「かっこいい」などと好評で、は西澤を「逸材」と評し、などのメンバーからは、壁ドンのリクエストや抱き付かれるなど大モテとなった。男装バージョンの西澤は「」（るりと）を称しており、のトークでもを開設するなど、普段のキャラと使い分けている。', 'ぐぐたすの美術部に所属。Google+にメンバーを描いた絵をアップしたり、読売新聞日曜版に掲載されるのコラム「1分後の昔話」のイラストを担当したこともある。コラム上で課される課題は1回もサボらずに出し続け、コラムや読売プレミアム（WEB）で採用されることも多く、読売プレミアムでは『スーパー中学生』と呼ばれたことがある。', '腹筋を毎日30～50回行っている。', '']}"
