active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
0,"{'positive_description': [], 'negative_description': [], 'other_description': ['', '']}",19941017,,1期,山内彩花,157.1,やまうち あやか,あや,,大阪府,,,,研
0,"{'positive_description': ['長所は、マイペース。', '趣味は、音楽鑑賞。', '特技は、お菓子作り。「料理教室に2年通っていました」', '好きな食べ物は、お菓子(特にチョコ系)。', '好きなアーティストは、AKB48、SKE48、少女時代、Perfume、LADY GAGA。', '好きな公演曲は、『Warning』『投げキッスで撃ち落とせ』『ライダー』『誰かのために』', '好きなブランドは、セシルマクビー、INGNI、MISCH MASCH。', '好きな色は、ピンク、白、黒。', '好きなキャラクターは、マイメロ、キキララ。', '好きな作家は、東野圭吾。', '好きな男性のタイプ、優しくて引っ張ってくれる人。'], 'negative_description': ['短所は、マイペース過ぎることろ。'], 'other_description': ['漢検2級を持っている。', '理想のデートは、ディズニーランドに行く。', '3歳上の姉がいる。', '']}",19960523,A型,1期,森彩華,160.0,もり あやか,あーにゃん,,大阪府,20110710,,N,
0,"{'positive_description': ['特技は、ソフトテニス。「三年間ばりばりやってました」近畿大会出場経験あり。', '趣味は、パジャマ集め。', '好きな色は、ベビーピンク、黒、白。', '好きな食べ物は、チキン南蛮。', '好きなファッション、ブランドは、LIPSERVICE。', '好きなキャラクターは、バービー。「凄い憧れでもあって大好きです！」', '好きな男性のタイプは、よくご飯を食べる人。「ガツガツ食べて欲しい」'], 'negative_description': ['苦手なものは、電車。せまいとこ。', '休みの日にすることは、「とりあえず誰かと一緒にお外にいます。一人きらいです。オフのときは、大阪に行くこと多いです」'], 'other_description': ['一人称は「あかね」', '涙もろい。', '座右の銘は、「人に優しく自分に厳しく」', '「ぴの」というプードルを飼っている。名前の由来は、アイス。', '']}",19940510,A型,2期,瀧山あかね,168.5,たきやま あかね,ねっち,"['AbemaTV専属', '元ベンヌ所属']",兵庫県,,,,研
0,"{'positive_description': ['趣味は、アニメ。マンガ。', '戦国武将が好き。', '隙間に挟まるのが好き。「レッスン場でレッスンしてたんですよ。ちょっと飲み物飲みたいなと思って、2期の子たちがおる所に行ったら、莉子ちゃんが階段と壁の隙間のところに入ってて。むっっちゃ陰のある子みたいになってて。この子どうしたんやろって『なにしてるん？』って聞いたら、『落ち着くんです』って言われて」。「そうです。莉子ちゃん、『隙間が落ち着く』ってずっと言ってるんです」。篠原「ハムスターみたいやな」。', '「陸上も習っていました。走ることは大好きです。小学校のマラソン大会では一番で、市の駅伝の選手にも選ばれました」', '好きな食べ物は、チョコレートやアイスクリームなどの甘いもの。トマト。苺。「最近トマトは毎日食べています」', '好きな色は、ピンク。', '好きなブランドは、Turara。LizLisa。「だけどいつかは大人の装いの似合う女性になりたいと憧れます」'], 'negative_description': [], 'other_description': ['メンバーの中でも、学校でも静かな方。', '5歳の時から剣道を習っており、初段。中学の部活も剣道部に所属している。', '身体が硬い。「ダンスの先生からも 『うわぁ～ めっちゃ 身体固いなぁ～』ってビックリされてしまいました」', '中学1年の時から生徒会に入っている。「今年の卒業式では 送辞も読ませていただきました」', '2人の兄がいる。末っ子。', 'NMBのブログを書くために、初めて自分の携帯を持たせてもらった。「ブログは携帯で書いてるんですけど、実はNMB48に入るまで、携帯は持ってなかったんです。何でかっていうと、お兄ちゃんが中学校のころに携帯を持ってたんですけど、携帯にはまりすぎて勉強しなくなっちゃったみたいで…（笑）、私はそうならないようにしようと思って、持たなかったんです。でも今は持ってるんで、ブログもたくさん更新しますね」', '']}",19961211,O型,2期,大谷莉子,149.0,おおたに りこ,りこぴん,,奈良県,,,,研
0,"{'positive_description': ['趣味は、映画鑑賞、お菓子作り、料理。', '特技は、楽器演奏（Asax（アルトサックス）・トランペット・ピアノ）。', '好きな食べ物は、ゆで卵（半熟）。', '好きなブランドは、ROSE FAN FAN。', '好きな芸能人は、ローラ。「最近はマネして、「OKー！」ってずっと言ってるよー(笑)」', '好きなキャラクターは、「Dr.（スランプ）アラレちゃん♪\u3000最近のだと、スヌーピーとかミッキーも好き」', '好きな色は、ピンク。', '注射を打つのが好き。「皆にどMって言われました」'], 'negative_description': [], 'other_description': ['小学校の低学年まで、3年間ぐらい器械体操をやっていた。「昔はバク転もできましたよ。今はもうできないんですけど', '中学校では吹奏楽部に所属。', '英検準2級を取得。', '']}",19951028,,2期,岡田梨紗子,157.0,おかだ りさこ,りさぽよ,,大阪府,,,,研
0,"{'positive_description': ['長所は、何事にも挑戦すること。', '特技は、ダンス。変顔。', '好きな食べ物は、きゅうり。「浅漬けとかサイコー（笑）」', '好きな言葉は、「ありがとう」「Thank you」（感謝の言葉）'], 'negative_description': ['嫌いな食べ物は、野菜。'], 'other_description': ['性格は、明るくて元気。', '吹奏楽部に所属し、クラリネットを担当。', 'マイブームは、携帯小説を読むこと。', '']}",19980219,B型,3期,石川こころ,150.0,いしかわ こころ,こころん,,大阪府,,,,研
0,"{'positive_description': ['長所は、基本的に元気なところ。', '趣味は、音楽を聴くこと。', '特技は、キラキラオーラを届けること。けん玉。', '好きな食べ物は、コッペパン、メロン。カレー。たらこスパゲッティ。', '好きなスポーツは、バスケットボール。', '好きな色は、ピンクと黒。', '好きな果物は、苺、ゴールドキウイ。', '好きな言葉は、「人をうらやましがるんやったら、その人が今までしてきた努力もうらやましがれ」'], 'negative_description': [], 'other_description': ['性格は、マイペース。', 'けん玉1級を持っているが、けん玉で苦戦してる技は、灯台。「これは難しすぎる」', '']}",19970819,,1期,原みづき,160.0,はら みづき,みづき,,兵庫県,,,,研
0,"{'positive_description': ['趣味は、絵を描くこと。犬のお腹をくしゅくしゅすること。「とても癒されます」詩を書くこと。', '特技は、小さい子のお世話。', '好きな食べ物は、レーズンパン。みかん。焼き芋。', '好きな色は、ピンク。黄色。明るい色。', '好きな教科は、体育。', '好きな言葉は、「プラス思考」'], 'negative_description': [], 'other_description': ['妹がいる。', '']}",19970805,AB型,2期,小鷹狩佑香,154.0,こだかり ゆうか,ゆうゆう,,大阪府,20120506,,M,
0,"{'positive_description': ['長所は、真面目で努力家。', '趣味は、ダンス、カラオケ、釣り。名探偵コナンのグッズ集め。', '特技は、ダンス、柔軟（ストレッチ）。', '好きなアーティストは、倉木麻衣、GARNET CROW、BOA、安室奈美恵。', '好きな歌は、『366日』(HY)、『HANABI』『しるし』(ミスチル)、『サヨナラベイベー』『WHY』(加藤ミリヤ)、『愛唄』(ＧＲｅｅｅｅｎ)、『Ti Amo』(EXILE)、『恋』(back number)。', '好きな色は、ピンク、黒。「ななみんカラーは？\u3000ハイっ(*^^*)もちろんろん\u3000ピ・ン・クだよっ(^з^)-☆\u3000ピンクはななみん色～(笑)」', '好きなキャラクターは、スポンジボブ、ダッフィー、ムーミン一家のミー。『名探偵コナン』の服部平次。ミニーちゃん。', '好きな花は、薔薇、ガーベラ。', '好きなドラマは、『ストロベリーナイト』', '好きなブランドは、ONEWAY、AdoreMagender、INGNI、CECILMcBBE、SHAKESHAKE。', '好きな動物は、犬、シロクマ。', '好きな食べ物は、お寿司、クリームシチュー、おくら、アイスクリーム、せせり。', '好きなドリンクは、フルーツオレ、タピオカ。', '好きなお菓子は、グミ、クッキー、ポテチ。', '好きな言葉は、「継続は力なり」', '好きな数字は、７。', '好きな髪型は、巻き髪、ストレート。', '好きな男性のタイプは、盛り上げ上手な人、明るく、喋りやすい人。', '好きな絶叫マシーンは、ピレネー、センターオブ・ジ・アース、タワーオブテラー、スペースマウンテン。「ビビりやけど乗りたがり」', '好きな場所は、海、港。典型的な海派。'], 'negative_description': ['短所は、マイペース。', '嫌いな食べ物は、おでん、ネギ、レバー。'], 'other_description': ['今までにした習い事は、英会話、水泳、クラシックバレエ、ダンス、塾。', 'デートに行きたい場所は、ＵＳＪ、映画。', '行ってみたい国は、ドイツ、ブータン王国。', '家族構成は、父・母・本人・弟（2012年3月時点で小4）。', '茶夢（1才）というポメ&ペキmixを飼っている。', '小さい頃の夢は、食べ物屋、バレリーナ。', '']}",19980926,O型,3期,佐々木七海,157.0,ささき ななみ,ななみん,,大阪府,,,,研
0,"{'positive_description': ['長所は、甘えん坊。', '趣味は、ショッピング。いろんな服を着ること。', '好きな色は、ピンク。', '好きな食べ物は、ケーキ全部。特に苺。もんじゃ焼き。ビーフシチュー。', '好きなお菓子は、チョコレート。', '48グループで好きな曲は、『野菜シスターズ』', '好きなキャラクターは、キティーちゃん。ダッフィー。', '好きな男性のタイプは、優しくて面白い人。尽くされたい？尽くしたい？\u3000「尽くされたいなっ!(笑)」'], 'negative_description': ['短所は、ドジでどこでもコケちゃう。', '苦手な食べ物は、ピーマン。'], 'other_description': ['元テニス部。でもメンバーからは「運動はダメ」と言われている。', '習字二段。', '肌が綺麗になるということで、青汁を毎日飲んでいる。', '「留奈」と言う名前の由来は、「どこかの外国の言葉で三日月をルナと言うらしく、いつも優しく輝いて明るい子になるようにってつけたみたい」', '小3の時、すべり台から落ちて左頬を強打。エクボが3つになった。', '']}",19971125,AB型,2期,藤田留奈,150.0,ふじた るな,るーたん,,大阪府,20121003,,M,
