active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
1,"{'positive_description': ['趣味は、音楽鑑賞、人間観察。', '特技は、短距離走、靴紐を早く結ぶこと、側転。', '好きな食べ物は、お寿司、鮪、梅のお菓子、タピオカ。', '好きな言葉は、努力すれば必ず報われる。'], 'negative_description': [], 'other_description': ['']}",20031011,AB型,8期,石黒友月,160.0,いしぐろ ゆづき,ゆづ,,愛知県,20180916,,S,
1,"{'positive_description': ['趣味は、小さい子と遊ぶ。一人◯◯。アイドルの動画を見る。歌って踊ること。', '特技は、バドミントン。タイピングの早打ち。太鼓の達人(おに)。一輪車。寝落ち。。一輪車、ピアノ。', '好きな食べ物は、いきなり団子(熊本名物)、グミいきなり団子(熊本名物)、馬刺し、グミ、タピオカ、マカロン。', '好きな言葉は、なりたい自分にはきっとなれる。'], 'negative_description': ['短所は、眠くなると機嫌が悪くなる所。'], 'other_description': ['長所は、負けず嫌いな所、明るい、世話好き、人を笑わせるのが好きなこと。', '']}",20010612,O型,8期,井上瑠夏,156.0,いのうえ るか,るーちゃん,,熊本県,20171005,,S,
1,"{'positive_description': ['長所は、誰にでも合わせられる。', '趣味は、文房具あつめ、YouTubeを観ること。', '特技は、習字、フラフープ。', '好きな食べ物は、あたりめ、さきいか、イカソーメン、桃、ぶどう、梨。', '好きな言葉は、「雨がなければ虹もでない」。'], 'negative_description': ['短所は、優柔不断。'], 'other_description': ['将来の夢は、この子のパフォーマンスすごい！もう1回見たい！と思ってもらえるようになること。', '']}",20040729,A型,ドラフト 3期,大谷悠妃,151.0,おおたに ゆうき,ゆうゆ,,愛知県,20180916,,S,
1,"{'positive_description': ['長所は、好奇心旺盛、明るい。', '趣味は、アイドル鑑賞。完コピで踊ること。過去の公式プロフィールでは、自分磨き、動画を見ること、寝ること。', '特技は、柔軟、競歩。過去の公式プロフィールでは、ダンスを覚えること、寝ること。', '好きな食べ物は、唐揚げ、タピオカ。過去の公式プロフィールでは、酢だこ、干し梅、竹の子。', '好きな言葉は、「輝く未来、私だけの未来」。過去の公式プロフィールでは、「たかが一歩されど一歩」。'], 'negative_description': ['短所は、そそっかしい、優柔不断。'], 'other_description': ['6歳年上の兄と4歳年下の妹がいる。(上村は真ん中)', '']}",20040127,A型,ドラフト 2期,上村亜柚香,159.0,かみむら あゆか,あーちゃん,,愛知県,20161201,,S,
1,"{'positive_description': ['趣味は、ダンス、歌、コスプレ、プラモデル。', '特技は、お絵描き、演技、ワン・ツーからのローキック、ヌンチャク。', '好きな食べ物は、オムレツ、フルーツ。', '好きな言葉は、努力は必ず報われる。'], 'negative_description': [], 'other_description': ['']}",20010124,O型,8期,北川愛乃,158.0,きたがわよしの,よこにゃん,,大阪府,20171005,,S,
1,"{'positive_description': ['好きなブランドは、LIZ LISAとか。', '好きな動物は、犬でトイプードル。', '公演の曲で好きな曲は、「全部好きですけど\u3000合格Kissのメガネがお気に入りです」。', '好きな食べ物は、アイス、種無し巨峰、ヨーグルト。', '好きな言葉は、アイス過去の公式プロフィールでは、「自分の夢にだけは素直でいたいんだ!」（ミュージカル「」より）', '趣味は、睡眠、食。過去の公式プロフィールでは、美味しいものを食べる事、愛犬と遊ぶこと、寝ること、いたずら。', '特技は、いたずら。過去の公式プロフィールでは、食べること、どこでも寝られること。', '好きなキャラクターは、アンパンマン、マイメロ。'], 'negative_description': ['苦手な食べ物は、にんじん、春菊、ふき、しいたけ、セロリ、パセリ、抹茶、レーズン、いーっぱい。'], 'other_description': ['テニス部では後衛をやっていた', '家ではメダカ、白メダカ、かぶとむし、ティーカッププードルの「うーちゃん」を飼っている。', '']}",19981009,B型,6期,北川綾巴,163.0,きたがわ りょうは,りょうは,['チームSリーダー'],愛知県,20140224,,S,
1,"{'positive_description': ['趣味は、美味しいご飯屋さん巡り。', '特技は、書道、短距離走、消しゴムはんこ。', '好きな食べ物は、お刺身のつま、おむすび、豚汁、苺、鰻、鯛。', '好きな言葉は、やったね！。'], 'negative_description': [], 'other_description': ['']}",20020202,B型,8期,坂本真凛,160.0,さかもと まりん,まりん,,愛知県,20180501,,S,
1,"{'positive_description': ['AKBグループの曲で一番好きな曲は、『遠距離ポスター』', '趣味は、寝ること、長風呂。「踊ること！歌うこと！」', '特技は、ダンス。「（ダンスは）6年間習ってました！」とのことで、曰く「7期のダンスの先生でもある(*^^*)」。他に（打楽器）パーカッション。', '好きな食べ物は、きゅうり、キウイ。過去の公式プロフィールでは、ぶどう。', '好きな動物は、犬（ダックスフンド）。', '好きな言葉は、「継続は力なり」。'], 'negative_description': ['自分の弱点や苦手なものは、「虫」', '苦手な食べ物は、なす、ゴーヤ、ピーマン、辛い食べ物。'], 'other_description': ['自分の性格を一言で表すと、「マイペース。負けず嫌い」', 'これだけは誰にも負けないことは、「ダンス。アイメイクをする時間の長さ（笑）」', '']}",20020305,B型,7期,杉山愛佳,154.0,すぎやま あいか,あいあい,,愛知県,20151128,,S,
1,"{'positive_description': ['長所は、心臓に毛が生えているような性格。', '趣味は、ダンス、カラオケ、ヲタ活（二次元・アイドル）。過去の公式プロフィールでは、歌う事、ガールズトーク。', '特技は、ダンス、メンバーを可愛く撮ること(通称：「ぴよかめら」)。過去の公式プロフィールでは、柔軟も。', '好きな食べ物は、ネギトロ丼、春雨料理、担々麺、七草粥、鯛の握り。過去の公式プロフィールでは、ぶどうも。', '好きな男性のタイプは、マンガ『ラブ☆コン』の大谷。「でも、心から里佳の事を想ってくれるのが1番です」', '好きな言葉は、「奇跡っていうのは自分の力で起こすものなんだ」'], 'negative_description': [], 'other_description': ['性格は、負けず嫌い。人懐っこい。', '理想のデートは、ディズニーで手を繋ぎながら…。', '25歳と22歳の兄がいる（2011年5月当時）。', 'による紹介。「都築里佳、りかちゃん、りかちゅう好き:アニメ、マンガ、携帯、炭酸ジュース嫌い:メール、束縛、ヨーグルト振りを覚える早さとデコの綺麗さは誰にも負けないメールを返すのは面倒くさいからやだしかし携帯は肌身離さず持っている基本的にＤＤあまり人見知りしないタイプ自分の話で笑ってしまうのが欠点持っている靴は合計37足みんなにお菓子を分けてあげる優しさ私服は柄×柄×柄=ごちゃごちゃ無意識に首を振るくせがあるお兄ちゃんがすきミュージカルと中学生日記をやっていたうまくて可愛い字が書けるこあみを嫁にしたい好きな缶詰めはコーン口癖は「でもさぁっ」公園に行ったら必ず鉄棒で逆上がりをするおなかが弱いかもしれないかくれ美脚」', '都築「缶詰のコーン嫌いだし、逆上がりできないお。そしてヨーグルト大好きだぞ。服が地味なときもある」', '']}",19951108,O型,4期,都築里佳,154.5,つづき りか,りかちゃん,,愛知県,20101206,,S,
1,"{'positive_description': ['趣味は、大食い動画を見ること、音楽鑑賞、寝ること、バレーボールを見ること。', '特技は、トランペット、バルーンアート、食べ物のカロリーがだいたい分かる。', '好きな食べ物は、お菓子とフルーツ全般。', '好きな言葉は、気持ちで負けるな。'], 'negative_description': [], 'other_description': ['']}",20000315,A型,8期,仲村和泉,154.0,なかむら いずみ,いずりん,,大阪府,20180501,,S,
