active,attributes,birthday,blood_type,enrollment,full_name,height,kana,nickname,note,prefecture,promotion,sister,team1,team2
1,"{'positive_description': ['長所は、みんな大好きなところ。基本、プラス思考。', '好きなアニメは、『銀魂』', '実はかなりのアニメオタク。「『けいおん！』の澪ちゃんが大好きで、普段はアニメばかり観ているし、音楽は『けいおん！』とAKB48しか聴きません（笑）」。休日はアニメを観ているか、アニメショップに行く。', 'コスプレも好き。', '趣味は、音楽鑑賞（ジャンル問わず）。お笑い番組を見ること。アニメを観る。アニソンを聴く。アイドルDVD鑑賞。漫画を読む。', '特技は、フルートを吹くこと。', '好きな教科は、数学と倫理。', '好きな食べ物は、お母さんが作ってくれたコロッケ。ソースとかは付けないのがこだわり。イチゴ。', '好きなお菓子は、チューイングキャンディ。', '好きな飲み物は、水かな。', '好きなイチゴの品種は、あまおう。', '得意な料理は、「肉じゃが！\u3000作ったことないけど！」', '好きな中華料理は、「杏仁豆腐...ってゆうのは嘘♪」', '好きな自分の顔のパーツは、ほっぺ。', '好きな自分の体のパーツは、腕。「えーっと..考えときます」', '好きなテレビ番組は、『しゃべくり007』', '好きな映画は、『崖の上のポニョ』『GIRL』', '好きな本は、重松清の『きよしこの夜』', '好きな女優は、相武紗季、桐谷美玲。', '好きな芸人は、「最近はあんまり詳しくないの」', '好きなアイドルは、。「推しメンはりかたそ（志村理佳）」', '好きなアーティストは、いない。「アイドルが好きです:-)」「決められないです」flumpool。', '好きな歌は、Funny Bunny。', '好きな公演ユニットは、『黒い天使』。「いつかやりたい！！」', '好きなSKEの曲は、『』。「茉夏ちゃんを好きになった曲」', '好きな夏歌は、ケツメイシの『夏の思い出』', '好きな本は、アレックス シアラーの『13ヶ月と13週と13日の満月の夜』', '好きなゲームは、AKB1/48。「やったことないけど！」', '好きな色は、ピンク、白、パステルカラー。', '好きな数字は、「7」、「100」。', '好きな花は、「いろいろあるけど時期的に向日葵かな？」', '好きなスポーツは、ラクロス。「観るなら野球、次点でサッカー」', '好きなブランドは、HoneymiHoney、miu miu、choosy chu、JIMMY CHOO。', '好きな服は、「女の子らしい服装！白のレースとかそうゆうの」', '好きな場所は、「んー‥新宿かな」', '好きな香水は、「分からないです」', '好きな遊びは、コスプレ（してみたい）。', '好きな季節は、春。「春服が好きだから」', '好きな戦国武将は、伊達政宗。', '好きな動物は、うさぎ。', '好きな犬種は、トイプードル。', '好きな都道府県は、千葉、宮崎。', '好きな海外の国は、イタリア。「美味しい食べ物がいっぱいあるから」', '好きな言葉は、「死ぬ気でやれ、死なないから」', '好きな四字熟語は、入山杏奈。', '好きな時間帯は、16時～18時と23時～4時。「なんとなくだけど(笑)」', '好きな男性のタイプは、「黒髪・眼鏡・白衣の三拍子！」。「①黒髪②足がキレイ③医者、それか理科の先生か保健の先生。白衣を着ているとこが重要！\u3000ものすごく重要です！\u3000はい、わたしアニメ好きなんです。ええ、その世界のイメージです（笑）」着物が似合う人。そっけないけど、優しい人。', '好きな男性の服装は、「よくわからない‥きちんとしてる人で(笑)」', '足首フェチ。後ろから見てキュッとなってる足首が好き。', '好きな異性の仕草は、汗をTシャツでぬぐう。', '好きな女性の仕草は、女の人が腕や脚を組むとき。', '自分が出てるMVで好きなのは、「」。「自分が出てるMVで多分1番「次のSeason」が好きなんだけど、久しぶりに見てみたらなんかすごく泣けたT_T UZAのカップリング曲なので、機会があったらぜひ見てみてください☺️」'], 'negative_description': ['短所は、すぐ泣く。腕が長い。', '嫌いな食べ物は、杏仁豆腐、野菜、お肉、お魚、お米。トマトとキュウリ以外の野菜全部。好き嫌いは非常に多い。'], 'other_description': ['クールな表情を見せる事が多いが、実は人懐っこい性格。いつもにくっついているとか。', '必殺技は、「私の特徴は、目から“杏仁ビーム”が出ることです。当たると『あんにんにラブずっきゅん』と自然に言ってしまうというすごいビーム」。「目の強いところが私と同じにおいがする。お互い、目からビームを出しながらがんばりましょう」', '部活は吹奏楽部。担当はフルート。', '姉がいる。', '今一番欲しいものは、執事。', 'ファブリーズを持ち歩いている。「公演がある時は、先輩の衣装を借りて出ることになるので、汗の匂いが残っていたら申し訳ないので、2ヶ月くらい前に買いました。私自身は匂いを気にするタイプではないし、匂いフェチでもないので、自分の服だと気にしません（笑）」', '']}",19951203,B型,10期,入山杏奈,160.2,いりやま あんな,あんにん,['太田プロダクション所属'],千葉県,20110723,,A,
1,"{'positive_description': ['長所は、大人っぽいところ。', '趣味は、ピアノ。バイオリン。両方習っていた。料理。本を読む。', '特技は、ピアノ。一輪車。', '好きな食べ物は、桃。果物全般。グラタン。', '好きな男性のタイプは、優しくて頭の良い人。', '好きな自分の身体のパーツは、足。', '好きなスポーツは、水泳。', '好きな動物は、犬。', '好きな映画は、「花より男子」', '好きな歌は、絢香の『三日月』', '好きな本は、恋愛小説、', '好きな色は、ピンク。水色。', '好きなサイリュームの色は、「やっぱりチームカラーの黄色かな！\u3000まぁ好きな色はピンクだけど（笑）」', '好きな数字は、10。7。', '好きな国は、スウェーデン。'], 'negative_description': ['短所は、しつこいところ。時々うるさい。', '苦手な事は、走ること。', '嫌いな食べ物は、納豆。苦い野菜全般。'], 'other_description': ['性格は落ち着いており、大人の風格。', 'キャンピングカーを持っており、よく家族でキャンプに行く。', '一番欲しい物は、運。', '']}",19970710,B型,10期,加藤玲奈,160.0,かとう れな,れなっち,['Mama&Son所属'],千葉県,20120324,,A,
1,"{'positive_description': ['趣味は、歌ったり踊ったりすること。', '特技は、歌・ダンス。', '得意科目は、社会と英語。', '好きな食べ物は、アイスクリーム、ソフトクリーム。ちなみにカップ派で、好きなアイスの味は「チョコレート味です！でも、バニラもいいなー」', '好きなアーティストは、松田聖子。「聖子さんに憧れてなりたいと思いました」', '好きな色は、ピンクor水色。'], 'negative_description': ['虫が大嫌い。', '嫌いな食べ物は、バナナ。「バナナ赤ちゃんの頃から嫌いなんです」きゅうり。'], 'other_description': ['中学校では学級委員。「皆の代表として怒られる事が多いです(笑)」', '']}",20010520,O型,ドラフト 1期,後藤萌咲,168.0,ごとう もえ,もえきゅん,['卒業予定（活動終了日未定）'],愛知県,20140125,,A,
1,"{'positive_description': ['長所は、なんでも「なんとかなる！」と思えること。', '趣味は、ダンス。', '特技は、書道。ピアノ。', '好きなスポーツは、バレー。バスケ。', '好きな食べ物は、いちご。', '好きな飲み物は、カルピス。「ちなみに、〇〇ティーとか飲めない」', '好きな色は、ピンク。', '好きなキャラクターは、マイメロディー。', '好きなタイプの男性は、とにかく優しい人。優しくてお洒落な人。'], 'negative_description': ['短所は、マイペース。'], 'other_description': ['性格は、すごくマイペース。子供っぽい。物事を深く考えないタイプ。', '部活はバレー部に所属していた。', '高校ではダンス部に所属。「踊っているときが一番楽しい」', '家族構成は（2012年6月現在）、祖父・祖母・父・母・兄（24歳）兄（20歳）・本人。', '']}",19960108,B型,13期,篠崎彩奈,155.0,しのざき あやな,あやなん,,埼玉県,20130824,,A,
1,"{'positive_description': ['特技は、人を元気にさせられるところ。', '趣味は、ダンスをおどること、曲をきくこと、マンガを読むこと。', '好きな食べ物は、ラーメン。'], 'negative_description': [], 'other_description': ['アピールポイントは、元気なところ。', '']}",20040902,A型,16期,鈴木くるみ,151.0,すずき くるみ,くるるん,,東京都,20171208,,A,
1,"{'positive_description': ['特技は、ウインク。', '趣味は、可愛い子を見ること。', '長所は、冷静。', '好きな食べ物は、マカロン、メロンパン。', '好きな言葉は、「がんばれ」。'], 'negative_description': ['短所は、人の気力に負けてしまう。'], 'other_description': ['アピールポイントは、福耳。', '']}",20031212,不明,16期,田口愛佳,152.0,たぐち まなか,まなか,,神奈川県,20171208,,A,
1,"{'positive_description': ['長所は、なんでも諦めずに頑張れること。', '趣味は、料理と48グループの写真集め。', '特技は、どんな曲でも母音で歌えること。一輪車。', '好きな食べ物は、オムライス。', '好きな言葉は、「奇跡」「ありがとう」'], 'negative_description': ['嫌いな食べ物は、納豆、トマト、チーズ。'], 'other_description': ['短所は、1つのことに集中すると周りが見えなくなること。負けず嫌い。', '']}",20031027,不明,ドラフト 2期,千葉恵里,162.0,ちば えりい,えりい,,神奈川県,20170927,,A,
1,"{'positive_description': ['趣味は、読書（マンガを読むこと、小説も読みます！たまに…）、ドラマを観ること、友達とおしゃべり。', '特技は、ダンス、高速三つ編み。', '好きな食べ物は、おつまみ系、フルーツ、ゼリー、プリン。', '好きな言葉は、「努力は必ず報われる」（さんが言っていて、心に残りました！）。'], 'negative_description': ['短所は、涙もろい。すぐ感動して泣いちゃう。声が大きい。', '嫌いな食べ物は、たまねぎ、ネギ、ニラ、ニンジン。'], 'other_description': ['長所は、いつも笑ってる。いろんな人と仲よくなれる。明るく社交的、負けず嫌い。', '']}",20031025,B型,ドラフト 2期,西川怜,161.0,にしかわ れい,れい,,東京都,20170927,,A,
1,"{'positive_description': ['アピールポイントは、勉強、特に数学が大好きで、中国に約4年住んでいた帰国子女。', '特技は、ピアノ、変顔。', '趣味は、音楽を聴くこと、料理、寝ること。', '長所は、明るい。', '好きな食べ物は、唐揚げ。', '好きな言葉は、「向上心」。'], 'negative_description': ['短所は、自分に厳しすぎる。'], 'other_description': ['']}",20001218,O型,16期,前田彩佳,158.0,まえだ あやか,あやか,,神奈川県,20171208,,A,
1,"{'positive_description': ['長所は、プラス思考。あまり深く考えない。', '特技は、美輪明宏のモノマネ。ボディボード。側転。吹奏楽。', '好きな食べ物は、ネバネバ。おやつ昆布「とろべ～」が好きで、昔は色々な所でネタにされていたが、もう「とろべ～」は飽きたらしい。', '好きな色は、ピンクと白。', '好きな男性のタイプは、背が高くて、おもしろくて、血管が綺麗な人。ノリのいい人。服装はリュックの様なラフな格好。「私と似てて性格とか重なる部分がある人」', '趣味はショッピング。カラオケ。', 'ケアベアが好き。からもスワロフスキーが付いたぬいぐるみとストラップを貰った。AKBプロファイリングというコーナーで宮崎の部屋が放送されたが、大量のケアベアグッズが登場していた。ちなみに篠田曰く「みゃおにあげたケアベアも映っていた」らしい。', 'レジが好きで、家にもあり、それで遊んでいるらしい。『』ではコンビニのレジ店員のバイトを体験したが、教えられていない事までこなすなど、異様にしっかりしており、セブンイレブンのトレーナーにも誉められた。', '注射が大好き。', 'ホラーが好きで、多数のホラー映画やゲームを所有している。本人曰く「ホラー映画でよく後ろから襲ってくるシーンがあり、夜に一人で見ると、ホラー映画みたいに襲ってきたらどうしよう…という恐怖感を味わうために見ている」。狂犬どころか、Mっ気があるらしい。'], 'negative_description': ['短所は、心配性。', '苦手な食べ物は、あんこ。トマト。お刺身。お寿司。', '嫌いな男性のタイプは、長髪（後ろで結んでいるような）。ヒゲ。ブーツインしている人。', '運動は苦手。足も遅く、50メートル走が10秒21だった。'], 'other_description': ['性格は、サバサバして負けず嫌い。', '「実際の私はすごいナイーブなところがあるんです。その人からすると冗談で言ったような事でも、私自身は引きずるタイプで…。些細なことに見えても、結構傷ついてることもあるんですよ。でも、しっかり怒られた時には『まあ、いいや』って聞き流すタイプだったりします（笑）」', 'チャームポイントは、目。', 'アンケートなどの字が汚い為よく怒られるが、実は習字を習っており、本当は字が上手い。DVDのタイトルも自身が書いたもの。', '学校では、「てかさ、あの子だれ？」「だれ？\u3000知らない！\u3000いたっけ？」「…まぁいっか」ぐらいの陰キャラ。宮崎がAKB48って事をみんな知らないらしい。', '部活は吹奏楽部で、ホルンやトランペットを担当。', '芸能人女子フットサルチーム「XANADU loves NHC」に所属。背番号は「30」。', 'ペットでハムスターを飼っており、「世界一のハムスター愛好家」と豪語している。', '姉がいる。', '']}",19930730,O型,5期,宮崎美穂,160.0,みやざき みほ,みゃお,['ホリプロ所属'],東京都,20080713,,A,
