birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
20001024,2期,秋吉優花,あきよし ゆか,ゆかちゃん,福岡県,20140111,,H,,,1,B型,158.0,"{'positive_description': ['趣味は、みかんアート・習字・語学の勉強・お菓子作り・世界の音楽を聴く・ゲーム・温泉に入る。', '特技は、首フラフープ・タイピング・中国語。'], 'negative_description': [], 'other_description': ['Google+でたびたび披露しているのが、みかんの皮を利用した「みかんアート」。岡田好弘著の「あたらしいみかんのむきかた」（小学館）を参考にしているとのこと。', '左利き。', 'ドッジボールの子ども会のキャプテンをやっていた。', '']}"
20031024,ドラフト 3期,伊藤優絵瑠,いとう ゆえる,ゆえる,東京都,20181126,,H,,,1,不明,159.0,"{'positive_description': ['長所は、誰とでも親しくなれる。', '趣味は、動画を見ること、DVD（ライブ）鑑賞。', '特技は、回ること。'], 'negative_description': ['短所は、頑固な時がたまにある、自己アピールが苦手。'], 'other_description': ['チャームポイントは、口元。', '']}"
19990920,2期,上野遥,うえの はるか,はるたん,福岡県,20140321,,H,,,1,A型,155.0,"{'positive_description': ['性格について自己分析、「元気=60%、ピンク好き=40%。なんかよく分かりませんね(笑)」', '趣味は、ピンクの物を集めること、ダンス。また、最近の趣味はハムスター観察。', '特技は、ほっぺをいっぱい伸ばせること。', '好きな飲み物は、りんごジュース。', '好きな柄は、水玉。', '好きな季節は、春。', '好きな場所は、部屋の角、狭い所。', '好きな動物は、うさぎ。', '好きな色は、ピンク。'], 'negative_description': ['嫌いな食べ物は、チョコレートと「辛いの」。', '嫌いな所は、お化け屋敷。'], 'other_description': ['宝物は、シャッポのぬいぐるみ。', 'マイブームは、センチメンタルサーカスのグッズ集め。', '']}"
19980124,2期,神志那結衣,こうじな ゆい,じーな,福岡県,20140111,,H,,,1,AB型,163.0,"{'positive_description': ['趣味は、料理の本集め。', '特技は、10円玉を立てること。', '\ufeffAKB48マラソン部に所属。走ることは好きで、短距離よりも長距離派。学校の長距離走で500人中9位だったことがある。', '得意な教科は、数学\ufeff\ufeff。', '好きな食べ物は、カレー。', '得意料理は、オムライス\ufeff\ufeff\ufeff。', '好きなペンライトの色は、白とピンク\ufeff\ufeff\ufeff。', '好きなにアーティストは、aiko\ufeff\ufeff。', 'カラオケの得意曲は、坂本冬美の『また君に恋してる』\ufeff\ufeff。'], 'negative_description': ['苦手な教科は、社会\ufeff\ufeff。'], 'other_description': ['性格は、マイペース\ufeff\ufeff\ufeff。', '経験した習い事は、ピアノ、新体操。部活は、バトミントン\ufeff。', 'ホテルの泊まるときは、必ずシェリーメイの人形を持っていく。', 'ファンレターについて、「お手紙は ゆいのお気に入りのお菓子の箱に保管してる♪ 今までに来たお手紙は、全部必ず読んでます!」', '目指している女優は、仲間由紀恵。', '座右の銘は、「一回一回を大切に」\ufeff。', '']}"
19940726,2期,坂口理子,さかぐち りこ,りこぴ,福岡県,20140111,,H,,,1,A型,164.0,"{'positive_description': ['趣味は、マッサージ、人間観察。', '特技は、ダンスで小学校2年生からダンスをしている。モノマネ。', '好きな教科は、English、体育。', '好きな食べ物は、グラタン、明太子、ラーメン、もんじゃ焼き。最近（2014年3月）では「地鶏のたたき」も。', '好きな飲み物は、メロンソーダ、梅昆布茶。', '好きな果物は、メロン、いちご、りんご。', '好きな色は、ぴんく、白。', '好きな動物は、わん（犬）さん。', '好きな言葉は、継続は力なり。', '好きな季節は、夏。'], 'negative_description': [], 'other_description': ['性格は、明るい、ネガティブ。', '高校時代、学力テストで最高3位になったことがある。また所有資格は英検準2級、漢字検定準2級、食物調理検定を持っている（より）。', '習い事はダンスの他にピアノ、水泳、新体操、朗読を習っていた。', 'お兄ちゃんがいる。', '']}"
20000107,2期,田島芽瑠,たしま める,める,福岡県,20140111,,H,,,1,B型,163.0,"{'positive_description': ['趣味は、読書。', '特技は、誰とでも仲良くなれる。', '好きなアーティストは、「いきものがかり」、「モーニング娘。」、「西野カナ」など。', '好きなパンは、「メロンパン、フレンチトースト、クロワッサン、めんたいフランスパン、ミルクパン、ホットケーキ、くるみパン、その他多数。」', '好きな色は、白。「白はどんな色にも染まりますが、私は私のカラーを出していきたいです」', '好きな花は、チューリップとひまわり、桜。'], 'negative_description': ['苦手な食べ物は、ゴーヤ、椎茸。', '料理は苦手。', '絵を描くのが苦手。', '怖いことが苦手。夜一人で寝ることができない。'], 'other_description': ['性格はおてんばでドジ。フラフープを左手で回しながらローラースケートを滑り、転んで手にヒビが入ったこともある。', '朝長美桜によると、普段は子供だけど、お仕事するときはしっかりしててガラッと変わる。', '初恋の経験がない。男の子に女の子扱いされた記憶もなく、告られたことも告ったことも、ラブレターを貰ったこともない。', '2015年1月15日に放送されたフジテレビ「」（）では「」の投票第1位（34票）になり、第2位のの13票よりも圧倒的な結果になってしまった。本人曰く、習字を2年ほど習っていたというが出演者がドン引きをしてしまい、が「習ってたって言わない方がいい」とコメントをしている。\n', '「字が汚い」という根拠となったのが、2014年1月4日ののGoogle+投稿から。HKT48のメンバーがレッスンの終わりに相次いで差し入れをしたが、正月休みに田島は伊勢神宮や大阪を家族とともに旅行し、その時のお土産を差し入れたのだが、その際に箱に書かれたコメントが「HKTのメンバーへ 」（原文ママ）と書かれているように見える（画像参照）。当人は「HKTのメンバーへ USJおみやげです 田島芽瑠」と書いたつもりであったが、「レッスン直前に10秒で書いたら」この様になってしまったとのこと。秋吉からは「写真を見てください。HKT48大丈夫でしょうか...(´；ω；｀)」と、心配されている。', 'もっとも、秋吉が心配していたのは田島だけではなく、他のメンバーの差し入れに書いてあったコメントで、「HKT48 1 おもしろくてかわいい村重からのおみやげです!!食べた人は、写メ付きでぐぐたすにあげよう！村重のこうかん度UP大作せんだ!!!ぐへへへへへ 今年もよろしく明太子!!!」（、原文ママ）、「だざいふてんまんぐう 差し入れです みお」（朝長美桜、原文ママ）、「べっぷへ行って来たのでおみやげです。一人一個食べてね！ まいこむ」（、原文ママ）と一様に基礎的な漢字が書けていないことも併せてである。', 'かなりの大食い 。', '習い事は、水泳と英語をしていた。「英語の発音には自信があります。ただ、単語が全然覚えられないんです(笑)」', '好きな教科は歴史・英語。苦手なのは美術。', '髪はくせっ毛で、巻いてもすぐストレートに戻る。かなり強情なストレート。', '黒ぶたのぬいぐるみを持っている。名前は「ももこ」。名付け親は。', '仕事で航空機に搭乗する機会が多いため、2013年10月の時点で、航空会社のマイレージサービスの最上級会員であるダイヤモンドメンバーとなっている。', '']}"
20000810,1期,田中菜津美,たなか なつみ,なつみかん,福岡県,20120304,,H,,,1,A型,170.4,"{'positive_description': ['趣味は、お笑い番組を見る。以前のプロフィールでは、絵描き、寝る。', '特技は、ディベート。以前のプロフィールでは、変顔。', '好きな食べ物は、コロッケパン。「好き度は誰にも負けません」。みたらし団子。', '好きな男性のタイプは、「話が上手で、面白くて、人の話をよく聞いてくれたり、頼りにできる人がタイプです」'], 'negative_description': ['苦手なことは、「広いところや人がたくさんいるところが、なぜか苦手です」'], 'other_description': ['いつも缶詰フルーツをタッパーに入れて持ってきている。', 'スッピンが男みたい。「まじっすかー!\u3000マジだよっ♪」', '休日の過ごし方は、アニメ。外で遊ぶ。', 'HKT48加入以前はダンス経験はない。それ以前に習い事は何もしていなかった。', '']}"
20010912,3期,田中美久,たなか みく,みくりん,熊本県,20140224,,H,,,1,B型,151.0,"{'positive_description': ['趣味は、カラオケ・映画鑑賞。以前のプロフィールでは、歌うこと、目立つこと、演技。', '特技は、フラフープ・愛犬に技を教える。', '好きな色は、青とピンク。', '得意な科目は、国語、家庭科。', '好きなことは、「食べる事、Google+や握手会、写メ会、公演、コンサートなどたくさんありすぎます♡！」', '好きな食べ物は、「天神ホルモンのまるちょうです！私はタレをつけて食べる方です。あのタレがまるちょうの良いところを消すことなく良い具合にたれとまるちょうがマッチしていてもぅ天国です…(o^^o)後は熊本名物の馬刺し(^o^)馬刺しは裏切らんばい！」'], 'negative_description': ['苦手な科目は、理科。', '嫌いなことは、「自分の反抗期、毎回家族と喧嘩した後自分駄目だったなと思いお風呂場でこっそり1人泣いてます（苦笑）見られるの嫌なので…」', '嫌いな食べ物、レーズン、青魚。'], 'other_description': ['性格は、怖がり屋、融通がきかないらしいです。', 'テレビ西日本「HKT48のごぼてん！」の1回目の放送（2014年5月24日）では、ゲストの堀内健（ネプチューン）に急に抱え上げられ、驚いて大号泣してしまった。', '今後の目標。「HKT48をもっともっと盛り上げていきたいですし、地元の熊本も盛り上げていきたいです。アイドルを続ける中で、歌手や女優にも挑戦したいと思っています」', '1期生のによると、「美久は女子力が高くて、「萌え台詞言って」と振ったらすぐ思いつくぐらい頭もいいし、アイドル性抜群」', '学校での様子、「クラスでは、色白小顔、面白いと言われます。いまは学級担当をしてます。時々身の回りのお手伝いもやってます！黒板消し担当もしているんですけど黒板の上の方まで手が届かなくて結局友達が消してくれます（笑）」', 'HKTでは、「一番最年少なのに大人に見られます(^o^)」', '12歳の一番の思い出、「髪の毛が凄く長くてお尻したくらいまであったんですけど、HKTを受けるちょっと前にくらいまでバッサリ切りました。クラスの子からは最初の言葉がだれ？？でした（苦笑）」', '小学生時代は、「視力、小1からずーっとオールA。学校通知表、Bが1つ後全部A『オールAのときもあった。』クラスでは3.4番目に頭よかったですょ(^o^)クラスでは、優等生だけど明るい子とみんなから言われてました。クラス委員長、クラブ委員長、運動会では応援団やよくみんなをまとめたりしてました。時々やんちゃでした（笑）でもHKTでは、、、人見知り、赤面症でしたね。。そのころは」', '']}"
19991025,4期,豊永阿紀,とよなが あき,あき,福岡県,20171126,,H,,,1,B型,158.0,"{'positive_description': ['趣味は、不動産サイトを見ること、読書、絵画、写真を撮ること。', '特技は、朗読。'], 'negative_description': [], 'other_description': ['']}"
19960808,1期,松岡菜摘,まつおか なつみ,なつ,福岡県,20120304,,H,,['チームHキャプテン'],1,A型,161.0,"{'positive_description': ['性格は、人見知り。「人見知りなんですけど、仲良くなったらとことん好きになります！」。', '趣味は、甘いものを食べること。以前のプロフィールでは、ダンス、空を写真撮影。', '「ひとり映画が好きです。というか映画館の雰囲気が好きです。むしろポップコーンが好きです。…キャラメル味がいいな」', '特技は、糸電話。以前のプロフィールでは、極度の人見知り。', '好きな食べ物は、モツ。もやし。チョコレート。ハンバーグ。', '好きなジュースは、ピーチ。', '好きなキャラクターは、「マイメロちゃんです！\u3000あの可愛いさは罪だ、犯罪だ(・∀・)はぁと」', '好きな動物は、「動物怖いので近寄れません。よって人間派ということになります」', '好きなスポーツは、「ダンスしかできない運動音痴です(苦笑)」「運動音痴なので、マット運動とダンスしかできません。誠に遺憾です。いや、イカン。このままじゃイカンっ！」', 'サイリュームの色は、「黄色が好きです♪」', '休日の過ごし方は、「一人でいることが好きなので、本屋さんに行ったり、映画館に行ったりします」', '好きな男性のタイプは、「周りにさりげなく気配りができる人です！\u3000可愛らしさと男らしさを持ち合わせている人も好きです」', '匂いフェチ。「良い匂いが大好きです」', '子供に付けたい名前は、「悠って漢字が可愛いくて好き」'], 'negative_description': ['苦手なものは、「熱い・痛い・怖いの三大要素！\u3000熱いお風呂と注射とお化け屋敷などが、大の苦手です」「おばけなんてウソさ。寝ぼけた人が見間違えたのさ。だけどちょっとこわいな。キャー', '苦手な食べ物は、豆類、魚介類。', 'ペットは飼っていない。「動物は苦手です。こわい。キャー」'], 'other_description': ['涙もろい。', '一人称も「なつ」。「家族の前では『なぁ』って言います。ちなみに姉を『ねぇね』と呼びます」', '「最近興味があるのは本屋さん。集合場所にはやめに着いた時は、大抵本屋さんに行きます。あの静かさは素晴らしい。新しい本の匂いと、買いたい本を探すときのワクワク感も素敵ですよね', '最近のマイブームは、少女漫画。「オススメはありすぎて書けないです。少女漫画についてなら2時間は語れます、多分。きっと」', '理想の男性は、「赤いマントで空を飛ぶ、中身がつぶあんのヒーローみたいな人。いつでも飛んできて助けてくれる人」', '言われたら胸きゅんなセリフは、「…う～ん、『ん？』とか『おう』って返事は、きゅんってくるかもです」', '家族構成は、父・母・姉（4歳上）・本人。', '']}"
