birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19971202,1期,古森結衣,こもり ゆい,ういたん,山口県,20120818,,H,,['エー・プラス所属'],0,O型,146.0,"{'positive_description': ['趣味は、動物と遊ぶ、ショッピング。', '特技は、縄跳び、バレーボール。', '好きな食べ物は、タピオカジュース。', '好きな色は、ピンク。', '好きな曲は、「今は、『残念少女』と『逆転王子様』」', '好きな男性のタイプは、「いつも元気な人です！\u3000元気があれば、どんな時でも笑顔になれますよねっ！」'], 'negative_description': ['苦手なものは、お化け。'], 'other_description': ['性格は、サバサバ系。「山口の子はみんなサバサバした性格で、こんなやけえ」', '小2で始めたバレーボールでは、セッターを務めていた。', '姉と弟がいる。', '犬を飼っている。誰にも負けないというポイントは、犬を愛すること。', '']}"
19940520,1期,菅本裕子,すがもと ゆうこ,ゆうこす,福岡県,20120818,,H,,['KOS所属'],0,B型,160.0,"{'positive_description': ['趣味は、お菓子作り、音楽鑑賞。料理。「祖母が、元お料理屋さんをしていたので、よく技を盗んでいます(^-^)へっへっへ」', '特技は、スネアドラム。', '中学の時は、吹奏楽部に所属。「パーカッシヨン(打楽器)でした！大好きです！コンクールの、あのドキドキ感がなんとも言えないぃぃい！」', '好きなものは、あったかいもの、犬、おふろ、寝ること、イルミネーション、家族、料理、ワンピース(漫画)、お買いもの、パステル色、いたずら、吹奏楽、音楽聴くこと。', 'メンバーのほっぺを、手の裏側でさわさわするのが好き。「メンバーの反応。さくらたんは「ふん」と犬みたいな声だして逃げます。あおいたんは、「もう！」って怒ったあと、「えへへ」と笑います。ツンデレ最強。あいりたんは、口をポカーンと開けてびっくりしています。あんなは、手を噛みついてきます。ういたんは俊敏によけます。わかはるはキレます。・・・ちよりには触りません」', '自分の一番好きなところは、「すぐ寝られることです！ぐっすり寝ます！」', '好きな顔文字', '料理が得意。「一度食べた物の味は再現できます！」', '好きな食べ物は、シャケ以外のもの。「私が考案した“柿ミルク”。熟した柿をビニール袋に入れて、わ～って叩いて、それを牛乳と混ぜて飲むという。めっちゃおいしいですよ。自信作です」', '好きなアーティストは、「backnumber、GOINGSTEDY、斉藤和義さんをよく聴いてます！」', 'AKBの公演曲で好きなのは、『抱きしめられたら』。「みなぞうと、ふたりでいつも歌ってます(^.^)」', '好きなサイリウムの色は、「白です(^q^)！お星様みたいでキレイなんだもん！」', '好きな洋服のブランドは、「ローリーズファーム、ページボーイ、ヘザー、スピンズとかかなぁ・・何でも着ます！安いのとか特に！」', '好きな男性のタイプは、「ベタですけど、やっぱり優しくて、思いやりがある人がいいです。心が温かい人がいいです」「うーんと、ワンピースのサンジ  (^o^)！\u3000えと、優しすぎるくらい優しい人ってことです！」'], 'negative_description': ['苦手なことは、「自分が思っていることを、うまく言葉に表せないことです（笑）。よく擬音語を使い過ぎちゃいます」', 'メールが苦手。「文字打つのが苦手っていうか・・・はい、苦手なんです！\u3000\u3000ぎゃー」'], 'other_description': ['こだわっていることは、「「相手の気持ちになる」「相手を優先する」「相手の良いところをたくさんみつける」これが、ゆうこ原則です！中2くらいのときに決めました！こだわりです！」', '今、欲しいものは、自信。「自信がないので…」', '休日は寝て過ごす。「しかも酸素カプセルの中で」「40分間で4時間分の睡眠がとれるんです。最年長だから疲れが溜まるんです（笑）」', '大切にしている言葉は、「誰優」（だれやさ）。誰にでも優しくの略。', 'HKTに入る前までにやっておきたかった事は、「筋トレです(ToT)ゆうこ、入る前は、運動とか全くしなかったから、体力をもっとつけておけばよかった…」', '生まれ変わったらなりたいのは、シーツ。「シーツだったらずっとお布団にいられるので。ずっと寝ていたい人です」', 'キュンとする男性の仕草は、「船上コックさんが、料理してる姿です！黒いスーツで、金髪で、眉がぐるぐるだと、なおさらグットです！」', '（2012年4月時点）16歳の弟と、7歳の妹がいる。', 'コンタクトレンズを使用している。', '高校卒業後は調理専門学校に通い、調理師免許と食育アドバイザーを取得。', '']}"
19990314,1期,谷口愛理,たにぐち あいり,あいりす,福岡県,20120818,,H,,['オフィスアウイ所属'],0,AB型,152.0,"{'positive_description': ['性格は、幼い、不思議、気分屋、マイペース、面白い(？)。「また、気分屋なので趣味とか好きなものたまに変わります」「性格も末っ子なので、完全な末っ子です(笑)」', '趣味は、ピアノ演奏。', '特技は、幅跳び、ニワトリの声マネ。モノマネ、絵を描く。動物モノマネ。', '好きなものは、「HKT48、、ファンの皆様、愛犬:クローバー、お菓子、ジュース、ご飯、おにぎり、スパゲッティ、餃子、ラーメン、焼きそば、たこ焼き、犬、猫、鳥、ドラマ、アニメ、漫画、ふわふわしたもの、とりあえずさわり心地がいいもの、など!!!」', 'お菓子が好き。好きな食べ物は、グミ', '好きなキャラクターは、マイメロ、キティ、キキララ。', '好きな色は、黄色、ピンク、水色、白。', '袖フェチ。「袖まくり、萌え袖が好き」'], 'negative_description': [], 'other_description': ['「あいりすはいつも何かブツブツ独り言を言ってます（笑）」', '口癖は、「びっくりんこ」。', '嫌いなものは、「勉強、狭い所、など!!!\u3000好きをいっぱい書いたのに、嫌いが2個だけ(笑)」「狭いところは、閉じ込められた気分になって怖いから苦手です。ゴキブリは部屋にいると思うとゾッとします」', '好きなスポーツは、サッカー、バスケ。ただし、得意ではない。', '「お風呂は右足から入ります。ちなみに洗うのはー左肩からだよー！」。', '「クローバーちゃん」という犬を飼っている。', '']}"
19970909,1期,江藤彩也香,えとう さやか,さあやん,大分県,,,,研,,0,A型,160.0,"{'positive_description': ['趣味は、ヘアアレンジ研究、マリンスポーツ。小5からウェイクボードをやっており、サーフィン（ショート）も出来る。', '特技は、５０M走、両足を首にかけて回る。', '好きなものは、お菓子。キラキラしたもの。', '好きなマンガは、「『可愛いって言ってよ』を書く人のが大好きです！\u3000知ってますか？\u3000絵が本当に可愛んですよ♪」', '好きな食べ物は、かぼちゃ。チーズケーキ。焼き肉。お寿司。', '好きなアーティストは、安室奈美恵、少女時代、AKB48、Juliet。', '好きなキャラクターは、「キティちゃん、マイメロちゃん、ミッキーよりドナルドダックからのエルモ。スティッチ。あとは、ベリたんです。ごめんなさい！\u3000どこでも出てきます」', '好きなファッションとブランドは、「ファッションは、可愛いけどちょっと大人っぽいのが入ってる感じのが好きですっ。ブランドは、INGNI、one*wayは大分にあったので前から好きです(笑)★!\u3000CECIL McBEEはまだ買ったことがないんですけで好きです(∀)笑」', '好きな男性のタイプは、「やっぱり、可愛いけど強い人が好きです。中身と外見のギャップがある人がいいなー」'], 'negative_description': ['苦手なものは、勉強。「特に数学が…」'], 'other_description': ['性格は、マイペース。負けず嫌い。面倒くさがり。好奇心旺盛、活発な性格。', 'お気に入りの大分弁は、「『今○○しよんにー♪』可愛くないですか？\u3000『○○が\uf8f1\uf8f3～っち、いいよったに！』', 'クセは、人の背中に手や足を入れて突っ込むこと（談）。', 'カバンの中にいつも防犯ブザーが入っている。「なんか、私のママが『もらってきたけん、なんかあった時のために持っちょきよ』って言われてからずっとカバンの中にあります」', '「ベリー」（ニックネーム：ベリたん。♀）というトイプードルを飼っている。', '']}"
19960323,1期,仲西彩佳,なかにし あやか,あやきゃんまん,福岡県,,,,研,,0,A型,158.0,"{'positive_description': ['趣味は、買い物、スポーツ、アイドル鑑賞。', '特技は、書道、早着替え。', 'アイドル好きで、昔からに憧れていた。佐藤「以前、レッスンの休憩時間にイントロクイズを行ったとき、仲西がぶっちぎりの優勝。絶対王者でした」', '好きな食べ物は、ヨーグルト。チーズ。', '好きなペンライトの色は、黄色。', '好きな男性のタイプは、「話が楽しくて、私自身がアイドル大好きなので、アイドルの話など趣味が合う人。人も好きです」ツンデレ。'], 'negative_description': ['苦手なものは、勉強。怖いテレビ。お化け屋敷。「教科書を見ただけで眠くなります」'], 'other_description': ['性格は、「自分でも分かってますが、人からは良く負けず嫌いだねと言われます」', 'クセは、１人でしゃべりだすこと（談）「一人言が半端なく多い！」', '乳製品をよく食べている。佐藤「仲西は少々変わっています。私は、人生で初めてあんなに乳製品を食べる人を見ました。いつもヨーグルトとチーズばかり食べているのです。お肉はあまり食べません。お米はそこそこ食べますが、パンは食べません。仲西曰く、『450gサイズのヨーグルトを、ほぼ毎日1個は食べる』そうです。でも、もう少しバランスよく食べて、丈夫な体を作って欲しいです」仲西「1Kg以上食べてしまうことがあります（笑）」', '']}"
19970717,1期,安陪恭加,あべ きょうか,きょうか,福岡県,,,,研,"['オフィスノアール所属', '業務提携:オスカープロモーション']",0,AB型,174.0,"{'positive_description': ['趣味は、音楽鑑賞、テレビ鑑賞。', '特技は、習字。', '好きな教科は、家庭科。', '好きな食べ物は、ブロッコリーの天ぷら。マンゴー。お菓子。\n', '安陪の代名詞ともなったブロッコリーが好きになったきっかけ。「中１の時くらいかな？？あんまり覚えてない(笑)気づいたら好きになってた」', '好きな色は、ピンク、白、茶色、赤。', '好きな男性のタイプは、「優しくて大人っぽい人です。そしてスポーツ万能だったら完璧です！」。'], 'negative_description': ['苦手なことは、テキパキ動くこと。「一つ一つの行動が遅くて、歩くときもまどかと一緒に歩いていたら、『あべもり、早く！』って言われます」', '苦手な教科は、国語、理科、社会、英語。「特に、英語がやばいですね…(笑)」'], 'other_description': ['性格は、おっとり系。佐藤「安陪は手足が長く外見は大人っぽいのですが、同じおっとり系仲間のとは、いつも互いに微笑み合っています。『何がそんなに嬉しいの？』『何がそんなに楽しいの？』そう聞きたくなるくらい、とにかく2人で幸せそうに微笑んでいます…。2人の間には、不思議な世界が存在しているようです」。', '笑いのツボがとにかく浅い。佐藤「大したこと言ったつもりは全くないのに、彼女は爆笑してくれるのです。ありがたいことです。でも、本当に大したこと言っていないにも関わらず笑ってくれるので、申し訳ないと言いますか、逆にこっちが恥ずかしくなるときがあります…」', '口癖は、「さすが」', '好きなスポーツは、テニスと、バレーボール。「得意ではないけど、でもなんか好き」', '左利きである。', '']}"
19950512,1期,中西智代梨,なかにし ちより,ちょり,福岡県,20140417,,H,,"['現・AKB48 チームB', 'AKS所属']",0,O型,160.0,"{'positive_description': ['長所は、「どんな時でも楽しめる!」', '趣味は、ダンス、歌う、音楽鑑賞。', '特技は、ヒップホップダンス、泣き顔、様々なモノのイメージを顔で表現すること。', '好きな食べ物は、チョコレート。クッキー。甘いもの。お肉ならなんでも', '代名詞と言えるすき焼きについてのこだわり。「すき焼きにたまごないと、すき焼きとはいわんぞよ」「すき焼きに卵2個使う」「すき焼きに松茸は入れない」「すき焼きのしめは絶対うどん」。ただし「牛鍋」は食べたことはない。', '得意料理は、「炒めものとかかな?」「（自炊は）時間があるときに料理練習してるからできるとおもう!」', '好きなサイリウムの色は、「ピンク…と言いたいんですけど、メンバーのほとんどがピンクなので、ちょりはあえて白&黄色が好きです」「ペンライトすごくきれいだとおもうのですが、白と黄色の組み合わせが一番好きです」', '好きなアーティストは、西野カナ、HY、EXILE、YUI、奥華子。', '好きな男性のタイプは、「自分に合っているオシャレをして、積極的で何気ない優しさがある人。いっぱい愛をくれる人」。「お洒落で、やさしくて、ちよりが作った料理を美味しい!と言ってくれて、ちよりのことを一番に考えてくれる人!」', '好きな言葉は、「オンザパーフェクト!」'], 'negative_description': ['短所は、心配症。言葉をすぐ気にする。', '苦手なものは、虫。「小さな虫でも、視界に入れば飛び上がるくらいビックリします」'], 'other_description': ['性格は、負けず嫌い。「マリオカートでいつも『もう1回!』と言ってしまいます（笑）」', '水泳を習っていて、三級を持っている。', '日本舞踊も習っていた。', 'AKB48移籍後、しばらくはホテル暮らしであったが、2014年7月頃から一人暮らしを始めている。', '']}"
19960105,2期,谷真理佳,たに まりか,まりか,福岡県,20140421,,KIV,,"['現・SKE48 チームE', 'ワタナベエンターテイメント所属']",0,B型,161.0,"{'positive_description': ['自身のファンの呼び名は「谷型ウィルス」。谷型ウィルスとは「どんな注射も効きません。私谷の事愛してる大好き！！名前が谷の人、顔が谷の人(谷のファン様の呼び名)(応援して下さる方)」とのこと。', '趣味は、ゲーム、アニメ鑑賞、猫と遊ぶ。過去のSKE48公式プロフィールでは、ホラー鑑賞、漫画、動物と戯れること、テレビを見ること、喋ることも。また、HKT48の公式プロフィールでは、音楽、映画、アニメ&漫画鑑賞（HKT48当時）。', '特技は、ヘリウム声。過去の公式プロフィールでは、ウィンク、読心術。', '好きな食べ物は、お肉と白米。チーズハンバーグとストロベリー。また、好きな名古屋めしは「相棒の手羽先の手羽ちゃん！！！すっごく！！美味しい食べてみて！」', '好きな映画はホラー映画。「死霊のはらわた」など。', '90年代アニメや現代アニメ、アメリカのアニメ、ホラーアニメ、CG映画アニメが好き。具体的な作品名としては「東京ミュウミュウ」や「美少女戦士セーラームーン」、「ママレードボーイ」、「地獄先生ぬ～べ～」、「地獄少女」、「みなみけ」、「けいおん！」、「うる星やつら」、「めぞん一刻」、「HUNTER×HUNTER」、「カードキャプターさくら」、「学校の怪談」、「ゲゲゲの鬼太郎」、「墓場鬼太郎」、「犬夜叉」、「らんま1/2」、「ぼのぼの」、「涼宮ハルヒの憂鬱」、「小公女セーラ」、「明日のナージャ」、「ママレードボーイ」、「学園アリス」、「満月（フルムーン）をさがして」、「人魚の森」をはじめとする高橋留美子作品など。', '好きな漫画は、少女漫画。少女漫画風のイラストを描く。Google+の投稿では自画像をアップロードしたことがある。', '好きな声優は、平野綾、山口勝平。', '好きな歌手は、藤田麻衣子。「すっごく！綺麗な声で透き通ってて惚れてます、、！！全部の曲がおすすめです」', '好きな色は、「シンプル色。白色とか」', '好きなペンライトの色は白色、「レインボー。だめ？」', '好きな数字は、1と5。理由は「谷の誕生日は～？(おー？)」', '好きな言葉は、「Never give up!」。過去のSKE48公式プロフィールでは、「谷ですぅ！！！！！！！！！！！！！！！！！！」。', '猫が好きで2匹飼っている（2012年当時、黒猫のサンちゃんとアメリカンショートヘアのまあちゃん）。飼い猫については公演のMCでも本人が言及しているが、まあちゃんについては「HKT48のおでかけ！」で写真が紹介された。また、サンちゃんについてはGoogle+の投稿に写真がアップロードされている。'], 'negative_description': [], 'other_description': ['一人称は主に「谷」、ときどき「私」。', 'Google+上で「まりか語（真理佳語）」をよく用いる。「まりか語」への変換は語尾を「まりか」化したり、「～なさい」の前に「まりか」を入れることによって行われる。例えば、「おはようございます→おはようございまりか」、「こんにちは→こんにちまりか」、「おやすみなさい→おやすみまりかなさい」等。', '自らの握手レーンを「愛情レーン」と称している。「愛情レーン」には「谷真理佳率いる沢山の愛情が詰まっている」。', '自身の顔面について、プリティフェイスや石原さとみ似、石原さとみと北川景子を足して2で割ったものと自己評価している。', '体形は細く、（当時小学6年生）がおんぶできる程度の体重。', '肌が白い。', '首にほくろがある。', '', '一時期、豆乳を毎日飲んでいた。その理由は、ヤングジャンプのソログラビア企画で抽選に当たった時のために備えるため。しかし、結果ははずれだった。その後、「エビカルチョ!」での「懸賞生活」でスクール水着を着ることになり、「「「もっと豆乳を飲んどけばよかった、、！！！！」」」と後悔している', '表での性格は超ポジティブでハイテンション。会話などのやりとりの中で自身の名前を売り込むことがよくある。', '小林よしのりとの対談では自身を「1000年に1人の逸材」と自己評価している。', 'から「君は宝だ」と評価された。', '裏での性格は「反省ノート」に見られるようにいたって真面目。「反省ノート」とは谷が自身の反省点を書き出したノートのこと。さらに、その反省点に対する励ましのメッセージの内容も指すことがある。', '母曰く「家では無口になります。落ち込むことがよくあります。その度に1人でベランダに出て色々と考え込んでいます。でも、戻ってくると何事もなかったかのようにしています。多分、親に心配をかけないようにしているのでしょう」', '緊張癖が激しくその反動であのテンションになるとのこと。', '高所恐怖症。東京スカイツリーの展望台ではその高さに涙を見せた。', '大食い。ステーキを2人前頼んだ挙げ句、2切れにつきご飯1杯を食し、計5杯を完食。', '名古屋へ来てからはほとんど料理をしていないことが、前述「※AKB調べ」の大掃除において判明している。', 'ヘリウム声とは声帯模写の一種。キテレツ大百科のエンディングテーマ「はじめてのチュウ」を声真似していたところ自然にできるようになった。', '']}"
19951017,2期,草場愛,くさば まなみ,まなみん,福岡県,20150430,,KIV,,,0,B型,157.0,"{'positive_description': ['趣味は、プロ野球観戦。お菓子作り。', '好きな球団は、福岡ソフトバンクホークス。', '好きな野球選手は、福岡ソフトバンクホークスの。', '特技は、ダンス。', '好きなペンライトの色は、黄色。'], 'negative_description': [], 'other_description': ['によると、ダンスの立ち位置や振りを覚えるのが早い。', '同期や後輩メンバーの面倒見が良い。', '']}"
19970811,SKE48 4期,木本花音,きもと かのん,のん,愛知県,20150525,,E,KIV,,0,AB型,152.0,"{'positive_description': ['長所は、「度胸がある」。', '趣味は、映画、音楽、サッカー。', '応援しているチームは名古屋グランパスエイトで、特に（当時。2017年時点で鹿島アントラーズ所属）が好き。', '特技は、即興演技、より目。過去の公式プロフィールでは、ロゴを描くこと。他にアゴを誰よりもシャクレさせる。', '自室は兄と共有。部屋は自分の趣味でピンクに統一しているが、兄たちは優しいので許してくれているとか。', '八重歯だが、普通の八重歯とはちょっと違う。顎が小さいため歯が入りきらず、永久歯の上に永久歯が生えてしまったため、下の永久歯を抜いている。普通の八重歯は前歯の隣の隣（いわゆる犬歯）が八重歯になる事が多いが、木本は前歯のすぐ横の歯が八重歯になっている。「ちょっと珍しくて好きですね」', '好きなアーティストは、aiko。いきものがかり。', '好きな食べ物は、餃子、パンナコッタ。', '得意料理は、カレー。', '好きな色は、ピンク。', '好きな男性のタイプは、「明るくて面白い人」。「明るくて、時々優しくて、話しやすい方が好きです」。', '初恋はまだ。「友達とかはドンドン付き合ったりしてるんですけど、自分には全くないというか。友達としては普通に好きな男の子たくさんいるけど、恋愛対象にはならないんですよね」', '匂いと眉毛フェチ。「匂いは石鹸の香りが１番好きで、眉毛は太くて濃いけど整ってる眉毛が好きなんです。匂いフェチは良くいるけど、眉毛フェチはマニアかな？」', '好きな言葉は、「死ぬ気でやれよ、死なないから」。'], 'negative_description': ['勉強は苦手。', 'ダンスも苦手。', '嫌いな食べ物は、アボカド。'], 'other_description': ['優しい性格。', '運動も苦手。『』で行われた「運動神経No1決定戦」では、出場48人中下から4番目の第45位。「私、意外と運動音痴なんです。いやー、小学生の頃はむしろ得意な方だったんですよ！？\u3000バスケのレギュラーにも入ってたし、運動会のリレーでも2位だったのに。いつからこんな出来なくなったんだー？\u3000あーー！恥ずかしい」', 'インドア派。', '色素が薄いので、髪はもともと茶色い。', '視力が0.1以下しかなく、コンタクトを使用している。', '自分の身体でお気に入りのパーツは手。「指も長くて、手相も良いらしいんですよ」', 'コンプレックスは、とがった顎。', '身長は155cmくらいは欲しい。', 'バストについて。「ないです。そのうち出るだろーと思って…でもそう言いながら時が過ぎていくんですよね（笑）」', 'ウエストについて。「ホント幼児体型だからくびれがなくて。細くなるためにお風呂でマッサージを始めました」', 'ヒップについて。「大きいです。ジーンズとか履くとポコッとなるじゃないですか。それが嫌です」', '目標にしているタレントは、ベッキー。', '理想のデートは、一緒にサッカーを観る。', '']}"
