birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19941105,1期,水澤彩佳,みずさわ あやか,"['みーずん', 'みーずん先生']",新潟県,,,,研,,0,B型,159.0,"{'positive_description': ['長所は、画用紙で壁面をつくるのが得意。', '趣味は、スノーボード。アニメ鑑賞。', '特技は、 手遊び歌をたくさん知っている、絵を描く、工作。', '好きな食べ物は、米、ラーメン、アイス、焼肉。「ラーメン大好きなんで私。メンバーでいちばんボリューミーなんです。やめて見ないで（笑）」', '好きな言葉は、「継続は力なり」。'], 'negative_description': ['短所は、いっぱい食べすぎて後悔するところ。', '嫌いな食べ物は、ふきのとう。'], 'other_description': ['保育士を目指して、保育の勉強をしていたが努力が実り、2016年3月12日に保育士学校を卒業し、保育士免許と幼稚園教諭免許を取得した。', '']}"
19950421,1期,大滝友梨亜,おおたき ゆりあ,"['大滝', 'ゆりあん']",新潟県,,,,研,['NEW BRiGHT PRODUCTION所属'],0,A型,153.0,"{'positive_description': ['長所は、とにかく明るい。', '趣味は、アニメを見る、グッズ集め、オシャレ研究、マンガを読む。カラオケでアニソンを歌うこと。', '特技は、歌。', '好きな食べ物は、パン、鶏肉、チョコ、アイス、野菜、コーヒー牛乳。', '好きな言葉は、自分大好き。二次元は最高。「アニメ大好き！」'], 'negative_description': ['短所は、素直すぎて、よけいなことまで言う。', '嫌いな食べ物は、トマト。'], 'other_description': ['']}"
19910624,AKB48 5期,北原里英,きたはら りえ,きたりえ,愛知県,20180430,,NIII,,['太田プロダクション所属'],0,A型,157.0,"{'positive_description': ['長所は、立ち直りが早いこと。', '特技は、声真似、太鼓の達人（ゲーム）と、いっこく堂の衛星中継、『ごくせん』のヤンクミの物真似。', '趣味は、自分の部屋を「コロコロ」できれいにすること。他に観葉植物の観察としているものの、が、メンバーから「イメージに合っている」「家で寂しくやってそう」と言われた。本当は、妄想する事と、マンガを読むこと。', '好きな食べ物は、カレーライス、アヒージョ、温泉たまご、ネギの小口切り。チョコレートとオブラート。温泉卵。', '好きな色は、黒、赤、水色、緑、紫。', 'お笑い好き。昔はオリエンタルラジオのファンで、ネタも全部言えたとか。好きな番組は『アメトーーク！』好きな芸人のタイプは、博多大吉。', '野球好きで、中日ドラゴンズのファン（北原は愛知県出身）。', 'ピアノが得意で、ヤマハ音楽能力検定のピアノ演奏グレード6級を取得している。また『ネ申テレビ』の企画で、スキーバッジテスト4級を取得。', '好きな言葉は、「しあわせ」。', '滑舌が悪い。篠田麻里子と高城亜樹の3人でラジオを出演した時、3人の共通点は「滑舌が悪いところ」と言ったが、篠田には「自分だけじゃん」と反論された。また、自分の声も好きではないようで、「残念ボイス」や「低音ボイス」と言っている。', 'ハリーポッター好きで、作中に登場する呪文の名前と意味を全て覚えている', '漫画好き。ブログやラジオではよく漫画の話をし、某古本屋ブッ○オフを“聖地”と呼ぶ。特に一番好きな漫画は『スパイラル～推理の絆～』で、浅月香介のファン。『ワンピース』も愛読しており、一番好きなキャラクターはサンジ。『神風怪盗ジャンヌ』に至っては人生のバイブル。', 'ホラー映画好き。', 'ファッションにはまだあまり興味はなく、好きなブランドなどもない。', '好きな街は渋谷。', '好きなアーティストは、ポルノグラフィティ。', '好きな男性のタイプは、「ギャップ萌えな人。かわいい人」普段はかわいいのに、いざという時に男前で、なおかつ笑顔が無邪気な人。', '好きな男性の仕草は「白目を剥いた」ところ。こちらは誰にも共感されなかった。ちなみに指原曰く「北原はチョイ悪好き」。', '初対面の男性の一番最初に見るところは、鼻。ツンとしている人が好き。', '好きな季節は夏。でも暑がり。'], 'negative_description': ['短所は、ネガティブ。すぐ落ち込む。AKB48ネガティ部の一人。メンバー全員のブログを読んでいるという柏木に言わせると、北原のブログは「時々、ネガティブ」になる。', '嫌いな食べ物は、あまりないがグリンピースは苦手。'], 'other_description': ['性格は、熱血系。団結を求め、体育祭とかで「みんなで優勝しようぜ！」と言うタイプ。逆に、体育祭や文化祭を「なんでもいいよ」とか言う人間は許せない。でも、表だってリーダーシップを取る訳ではなく、リーダーを支えるサブリーダータイプ。', 'よく食べる。柏木「食べ物にすごい執着がある」。高橋「あの子いっつも飢えてる」。宮澤「お腹いっぱいにならないらしいよ」。普段はあまり怒る事はないが、お腹が空くと極端に機嫌が悪くなる。自分の物を食べられたりしたらガチで怒る。も怒られた事があり、「怖い」とか。', 'イベント事は大事にして、一緒に楽しみたいタイプらしい。大家と同居している時に、クリスマスの前日に一緒にチキンを買って食べようという約束していたが、当日大家は忘れており、眠かった事もありぞんざいに相手をしていたら、北原が怒ってしまい気まずい雰囲気になってしまった。大家はなぜ怒られているのか分からず、「何怒っとん？」と聞いたら、「私にはめっちゃ大切な事だったのに、しーちゃんはどうでもいい事みたいに…」と言ったとか。まるでカップルの様なやり取りには「彼女か」とツッコんだが、はそんな北原が「可愛い」と思ったとか。', '北原の脳内成分表（AKBに関しては除外）。25％は「食」。20％は「妄想」。15％は「地元」。12％は「お笑い」。11％は「音楽」。5％は「マンガ」。3％は「ワンピース」。3％は「名探偵コナン」。3％は「恋したいという気持ち」。2％は「言えない秘密の気持ち（下ネタ）」。1％は「」。', 'ECCジュニアに通っており、英検準2級を持っている。『週刊AKB』の英語部では部長を務めた。', '一人称は、「私」「うち」「北原」「北原さん」「りえ」「りえこ」「りっちゃん」など様々なものを使用する。', '基本的に標準語を話すが、ときたま方言が出る。本人曰く「尾張弁」。', '口癖は「だけれど」。「ちょいちょい」。「結構～」など。「っこう」ではなく「けっう」にアクセントを置く。尾張弁は語尾に何かが付いたりする訳ではないが、イントネーションが標準語とはかなり異なる。SKE48とAKBが一緒の仕事をしたとき、ある言葉のイントネーションを巡ってAKBメンバーには変だと言われたが、SKEに聞いたら北原と同じだった。また、マネージャーに注意されたので直そうかとも思ったが、どこが訛っているか分からないので結局直せなかった。', 'また、昔は「パターン」を「パータン」と言うのを流行らせようとしていたらしい。最近になって、や、なぜかSKEのメンバーも「パータン」を使っている。', 'ケータイメールを打つのが早く、ラジオの企画で5人で「メール早打ち勝負」をしたが、前評判の高かったを破り、北原が1位となり「イマドキアイドル賞」を貰った。しかし板野には、納得がいかないとキレられた。', 'ちなみに、まだパソコンは持っていない。2010年夏頃に、パソコンを買ったらしい。', 'よく見るサイトは、ニコニコ動画。「Yahoo!知恵袋」というQ&Aサイトをよく見ているらしく、たまにその話が出てくる。', '『』ではロケで出会ったおばちゃんに、胸の小ささを指摘され、本人も「悩んでいるんですよ本当に」と答えている。みたいな“細いのにあるぞ”って感じの胸が憧れ。', '運動をやっていてため、脚は筋肉質。シルエットが似ているため、自称・エヴァ足。', '朝は時間が掛かるタイプのため、目覚ましのアラームの時間は一番早い。それなのに寝起きが超悪い。ちなみにアラーム音はガキ使の「ショウヘイヘ～イ」。PV撮影のため、、、、北原の4人で同じ部屋に泊まったが、北原は全然起きずに、いつまでもそのアラームが鳴り続けていた為、温厚な藤江が、ガンギレしていたと宮崎に教えられた。2011年1月、のが久しぶりに北原の家に泊まったら、まだ北原はアラーム音に「ショウヘイヘ～イ」を使っていたらしい。結局、アラームでは起きないため母親に電話をかけてもらっている。だがそれでも起きないので、他のメンバーに起こしてもらう。', '理想のデートは、水族館。', '迎えにきて欲しい車は、リムジン。', '言われて嬉しい言葉は、「おもしろいね」', '理想の女性像は、気が利く女性。', 'O脚。', '高1（2010年11月現在）の弟がいる。顔は北原に似ているが、格好良くはないらしい。', '「ものもらい」が出来やすい体質。', '長風呂。', '占いとかは、めっちゃ信じる方。', '飼いたいのはネコ。犬よりネコ派。', '北原にとってAKB48劇場とは、「第5の家です」。', '']}"
19971127,1期,宮島亜弥,みやじま あや,"['あやにゃん', 'あやや']",新潟県,20180807,,NIII,,,0,O型,160.0,"{'positive_description': ['長所は、あんまり人見知りしないところ。', '趣味は、音楽鑑賞。', '特技は、早起き。', '好きな食べ物は、アイス、鶏肉。じゃがりこ。', '好きな言葉は、「ありがとう」。'], 'negative_description': ['短所は、ネガティブ、ヘタレ、気が弱い。', '嫌いな食べ物は、「ほとんど食べられるのでありません」'], 'other_description': ['「忘れ物しないで！」と注意された直後にケータイを置き忘れるほど、おっとりとした性格。', '']}"
20010603,1期,髙橋真生,たかはし まう,"['まうちゃん', 'まうまう']",新潟県,20181006,,NIII,,,0,A型,160.0,"{'positive_description': ['長所は、緊張しないところ。', '趣味は、音楽鑑賞。', '特技は、変顔、漢字、ホルン。', '好きな食べ物は、さくらんぼ、チーズ、トマト。', '好きな言葉は、「挑戦」「努力は必ず報われる」。'], 'negative_description': ['短所は、集中力がないところ。', '嫌いな食べ物は、ねぎ、セロリ。'], 'other_description': ['']}"
19991129,2期,羽切瑠菜,はぎり るな,るんちゃん,群馬県,,,,研,,0,B型,,"{'positive_description': ['特技は、47都道府県を20秒以内に言う。', '趣味は、テレビを見る、音楽を聴く、お笑いライブに行く。', '好きな食べ物は、いちご、チョコレート、カフェラテ、味噌汁。', '好きな言葉は、「楽しい、幸せ」。'], 'negative_description': [], 'other_description': ['']}"
19910715,AKB48 3期,柏木由紀,かしわぎ ゆき,ゆきりん,鹿児島県,20190421,,NIII,B,"['現・AKB48 チームB', 'ワタナベエンターテインメント所属']",0,B型,164.0,"{'positive_description': ['趣味は、カラオケ、カワイイもの集め、ゲーム。やるのはDSとPSP。得意のゲームは『太鼓の達人』などの音ゲー。', '特技は、とうもろこしを綺麗に食べられること、トロンボーン。肩の関節が柔らかく、手が頭の後ろを回り、反対側の耳を掴める事。痒かった時に自然とそう掻いており、最近できる事を知った。', '長所は、マイペース。協調性。', '好きな食べ物は、スイカ、サーモン。「スイカだけで生きていける自信がある」', '『』でAKB激辛部の部長を務めたが、実は辛いものが好きではない。', '好きな少女漫画は『近距離恋愛』。', 'よく読む雑誌は『Popteen』。好きなブランドは『OLIVE des OLIVE（オリーブ・デ・オリーブ）』', 'モーニング娘の事を調べる為に、一日中パソコンの前に居たほど。そのため、ブラインドタッチが結構得意。ちなみに現在も、メンバー全員のブログを読んでいるとか。', '好きな数字は、「14」。理由は、大好きな石川梨華の「石」（いし＝14）だから。倉持「気持ち悪い。ゾッとするわ」', '好きなスポーツはサッカー。ボウリング。卓球。ボウリングは番組でやった時、プロの人に褒められたので調子に乗って好きになった。', '好きな言葉は、「マイペース、ポジティブ」。', '好きな男性のタイプは、ピンクの似合う人。「料理ができないので、料理ができる、作ってくれる人がいいな」精神年齢が大人な人。', '好きな男性のファッションは、「シンプルな服！\u3000スーツベストとか好きですね」', '好きな香りは、柑橘系。', 'もし結婚するなら、「精神年齢が大人な人。もともと私って根が暗いので、ワーッと騒ぐ人についていけないんですよ（苦笑）。落ち着いた人で、願わくば料理ができる人。あとはアイドル好きな人もいいな。っていうかアイドル好きの私を受け入れてくれる人がいい。一緒にライブに行ってくれる人もいいな」'], 'negative_description': ['短所は、人見知り。思い切りの無いところ。', '嫌いな食べ物は、ニンジンと牛乳。白いご飯が苦手。', 'ブログは基本的に事後報告で、仕事が終わった後に更新する事が多い。ブログを更新するのが嫌いな訳ではなく、ブログが無くなったら困る。柏木が仕事の途中でブログを書かないのは、スタジオに携帯電話を持ち込めないタイプだから。仕事第一人間。'], 'other_description': ['性格は、マイペース。頑固。適当。面倒くさがり屋。', '「私は平和主義なので、みんなが穏やかに仲良くできるといいなとは思ってますけど…。実際はけっこう自由です。自分のことは自分でやるし、他人にはあまり干渉しないかも」。個人主義？\u3000「それはあると思います。キャプテンになってからはチームを見るようにはなりましたけど、引っ張っていくというよりは、「私もやるからみんなもやろうね」みたいな」。', '曰く「芯が強く、へこたれない」。涙を見せた事も、旧チームBの千秋楽など数少ない。本人によると、喜怒哀楽などの感情の起伏はほとんどない。', '目標はもっと明るい人になること。「元々騒がしいタイプではないんですけど、1人だと余計静かになっちゃうんですよ。でも無理して合わせるんじゃなくて、私は私らしいペースでやっていければなあと思います」', 'チャームポイントは、人の半分ほどしかない小さな前歯。', 'ストレス発散方法は、枕を口に付けて叫ぶ。たこわさを食べる。', '柏木家では、食パン+バナナの輪切り+マヨネーズ+マーガリンの「バナマヨパン」', '基本的に動物が苦手。特にハトの事を嫌悪しており、理由は「人間が来ても逃げない」「ハトは私たちの上空を飛んでる。すごい見下ろされている」「なんかイラッとくるオーラを出している」から。そういうハトの図々しさが嫌い。飛ぶ生き物は嫌いだが、スズメぐらいならなんとか好き。', 'インドア派。スポーツは観る方。最近は野球を観ている。', '部活は吹奏楽部に所属し、トロンボーンを担当。本人はフルートをやりたかったが、顧問の先生によると身長が高かったためやらせて貰えなかった。', '普段からガニ股（談）で、コンサートを見に来た親からもガニ股ダンスを注意された。', 'クセは、笑う時に口に手を当てる。', '口癖は「えっと」と「本当ですか？」指原によると「マジ神」。', 'コレクションしているのは、「かわいいリングです。でもなくしちゃうことが多い」', '通常は標準語を話すが、母親と会話する時には、鹿児島弁に戻る。', '生まれ変わったらなりたいのは、「絶対アイドルです！」', '自宅はワンルームで、母親と二人暮らし。布団2枚敷いたら足の踏み場もないほどだが、不満はない。', '潔癖症。スタジオやプールサイドを裸足で歩けない。しかし、外やテレビ局内は裸足で歩けるなど、境界線が理解できない。本人曰く「自分の手とか足とかで床とか触るのがダメで、スタジオの床とかは公園のトイレを裸足で歩いている様な感覚」', '泳げない。', 'メールは嫌いだが、電話するのは好き。', '性格はブラックだが、部屋は真っ白。', '自他共に認める雨女。指原「昔、撮影で富士急ハイランドに行ったとき雨が降ったんですよ。そしたら柏木さんが『あ、私雨女だから』って、その時点でもの凄いテンション下がった」。米沢「この前の撮影の時も、柏木が一緒に居たら雨でした」。倉持「（ドラマの）撮影時でも彼女が出演した途端に大雨。私も撮影が繰り越したりしました…」。自らのユニット「」のデビューシングル発売記念イベント当日は、東京で1ヶ月ぶりに雨が降った。', '今まで言われて一番傷ついた言葉は、「胴長」。最初、MV撮影時にに「ゆきりんって、ダックスフントみたいだね」と言われ、胴長と思われていることが判明した。によると、メンバー全員、「柏木の胴は長い」と思っているらしい。', 'メイクした顔とスッピンが違うメンバーは？\u3000という質問に自分だと回答。ちなみにメイクには3時間かかる時もあるとか。寝起きドッキリをされスッピンを公開した事もあるが、その時は地元の友達から「あんたのスッピン酷いね」とメールで言われた。「楽屋とでメイクしていない時に見ると、まだつぼみかなって」。柏木「それガチの悪口」。佐田「柏木はメイクしていない時、そんなに変かな」片山「影が薄くなるんです。あれ居たの？みたいな」。増田「イモっぽい」', '家事全般が得意そうな顔をしているが、まったく出来ない。料理が苦手で、17歳になってはじめて鶏卵を割れるようになった。『AKBINGO！』では生卵の殻を菜箸で剥き、司会のバッドボーイズに突っ込まれた。また、洗濯もした事が無い。', 'レッスン用の靴も数年同じ物を履き続け、パカパカになっても、4回も縫って修理して使用していた。それを見兼ねたが、19歳の誕生日にとプレゼントした。大島「靴がボロボロで、オーディション当時から履き続けている物持ちがイイ？\u3000貧乏性？？\u3000の人にプレゼントすることにしました」でもまだ古い方も履いていて、貰ったのと両方使い分けている。捨てない理由は、それが履きやすいからなんだとか。', '人から「貸して」と言われて貸せなかった物を次からバッグに入れるため、中身がどんどん増えていく。', '髪フェチ。', '理想のデートは、水族館、遊園地とかベタなところ。', '結婚について。「今はまだ結婚願望は無くて。あと10年は結婚しなくてもいいな～と思ってます」', 'プロ野球では、読売ジャイアンツのファンであることを公言している。2014年のセ・リーグ優勝においては、「セ・リーグ3連覇おめでとうございます！\u3000今年からベテランの方々の新戦力も加わり、全員野球での勝利だと思っています。私もNMB48と兼任になり、新戦力としての期待をパワーに変えることがとても大変なことと実感しています。優勝という結果につながって、私も負けてられないなと思いました。そしてまた、地元鹿児島の杉内選手の今年の大活躍もとても嬉しく思っています。この後は日本一奪回目指して頑張ってください！」とコメントしている。', '']}"
20001123,1期,菅原りこ,すがはら りこ,りったん,新潟県,20190519,,1期生,,['エイベックス・マネジメント所属'],0,O型,155.0,"{'positive_description': ['長所は、天然、明るい。', '趣味は、ダンス。「4年間創作ダンスやジャズダンスを習っていました」。', '特技は、I字バランス、大きな声。「体の柔らかさにも自信あります」。。', '好きな食べ物は、グラタン。', '好きな言葉は、「ありがとう」。'], 'negative_description': ['短所は、人との距離感がつかめないところ。', '嫌いな食べ物は、「ないです！」'], 'other_description': ['が自身の番組であるTOKYO FM「柏木由紀のYUKIRIN TIME」（2015年10月10日放送）の中で明かしたエピソード。', '']}"
20010315,1期,長谷川玲奈,はせがわ れな,"['れな', 'れなぽん']",新潟県,20190519,,1期生,,['クロコダイル所属'],0,O型,161.0,"{'positive_description': ['趣味は、野球観戦。ショッピング。アニメを見ること。', '特技は、野球、スポーツ。「なかでも野球は、小学4年生から中学3年生まで男子にまじってずっとやっていました。ポジションはセカンドでした」。', '好きな野球選手は、福岡ソフトバンクホークスの選手。同郷（新潟県胎内市出身）でありずっと背中を見てきたとのこと。。', '好きな食べ物は、ラーメン、さくらんぼ、スイカ。', '好きな言葉は、「何事にも全力で取り組む」。', '好きな曲は、『』。', '好きな教科は、理科。数学。体育。'], 'negative_description': ['嫌いな食べ物は、お刺身、ピーマン類、たまねぎ。'], 'other_description': ['地元の「」に、長谷川玲奈グッズや写真を展示したコーナーが存在する。', '実家で黒猫を飼い始めてかわいがっている。名前は「なるちゃん」。。', '自宅に置いてある灰色の大きな犬のぬいぐるみの名前は「ジェーミット」。長谷川のために兄が買ってきた。', '長谷川が実際におこなっている脚やせ方法がある。。', '母の誕生日は11月13日。同グループの母の誕生日も同日とのこと。', '']}"
19950917,1期,山口真帆,やまぐち まほ,"['まほほん', 'まほほ']",青森県,20190519,,1期生,,['研音所属'],0,O型,161.0,"{'positive_description': ['趣味は、美少女の画像集め、家電調べ。「美しい人が好きで、AKB48は昨年、友達に誘われて観たドキュメンタリー映画がきっかけでハマりました」。', '特技は、円周率100桁を言うこと。自動販売機のボタンの早押し。\n', '公式プロフィールでは、円周率100桁を言うことを特技に挙げていたが、2017年1月10日にNGT48劇場で行われた「NGT48劇場オープン1周年特別イベント」でのMCで、「その特技、本当ですか？ プロフィール嘘発見器」と称したコーナーで、公式プロフィールの特技ができるかどうかの検証が行われた。嘘と判明した場合は公式プロフィールから削除されるもので、コーナーに登場した、、、は続々と特技をこなす中、山口はただ一人、円周率100桁を言う事ができず、失敗に終わった。', '好きな食べ物は、水、塩。', '好きな言葉は、「ごめんなさい」。'], 'negative_description': ['短所は、全部。', '嫌いな食べ物は、メンマ。'], 'other_description': ['']}"
