birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
19930731,1期,鈴木きらら,すずき きらら,,神奈川県,20081124,,S,,,0,A型,160.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19900125,2期,若生純奈,わこう じゅんな,,愛知県,,,,研,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19890325,1期,稲垣ほなみ,いながき ほなみ,,愛知県,,,,研,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19941224,1期,尾関きはる,おぜき きはる,,愛知県,,,,研,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19920909,2期,齋藤優菜,さいとう ゆな,,埼玉県,,,,研,,0,,,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19901018,1期,柴木愛子,しばき あいこ,バッキー,愛知県,,,,研,['活動辞退発表は8月17日付'],0,A型,158.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19950706,1期,高井つき奈,たかい つきな,つっきーな,愛知県,20090831,,S,,,0,AB型,157.0,"{'positive_description': ['趣味は、お菓子作り、編み物。', '特技は、日本舞踊。'], 'negative_description': [], 'other_description': ['']}"
19951202,2期,大島風薫,おおしま ふうか,ふーか,愛知県,,,,研,,0,B型,149.0,"{'positive_description': ['趣味は、いちご柄の物集め、カラオケ。', '特技は、フラフープ、早口言葉。'], 'negative_description': [], 'other_description': ['性格は、マイペース。', '']}"
19961121,2期,林星香,はやし せいか,バンビ,愛知県,,,,研,,0,O型,145.0,"{'positive_description': ['趣味は、ラインストーンで小物を飾ること。', '特技は、お菓子作り。'], 'negative_description': [], 'other_description': ['性格は、マイペース。', '']}"
19970311,1期,前川愛佳,まえかわ あいか,あいか,愛知県,,,,研,,0,B型,156.0,"{'positive_description': ['趣味は、音楽を聞くこと。', '特技は、腕相撲、上目使い。'], 'negative_description': [], 'other_description': ['性格は、甘えん坊。', '']}"
19860225,2期,前田栄子,まえだ えいこ,え～こ,兵庫県,20091129,,KII,,"['SDN48へ移籍', '現芸名：手束真知子']",0,B型,155.0,"{'positive_description': ['趣味は、競馬観戦、予想のほかに料理。手料理の写真をたびたび、ブログ上でアップしている。'], 'negative_description': [], 'other_description': ['スノーモービルのライセンスを取得している。', '']}"
19870515,2期,市原佑梨,いちはら ゆり,ゆりりん,愛知県,20091130,,KII,,['サンズエンタテインメント所属'],0,B型,166.0,"{'positive_description': ['趣味は、パンを食べる、アロマテラピー、ヨガ、ピラティス、バレエ', '特技は、パン作り、キャラ弁作り、スーツの着付け。親指の第一関節をなくせる。'], 'negative_description': [], 'other_description': ['性格は、おっとりマイペース。', '']}"
19890205,2期,橋本あゆみ,はしもと あゆみ,あゆ,福井県,,,,研,,0,A型,160.0,"{'positive_description': ['趣味は、旅行、スポーツ、ペットショップ巡り、人を笑わせること。', '特技は、福井弁、水泳、スノーボード。'], 'negative_description': [], 'other_description': ['性格は、祭り（笑）。', '']}"
19930518,3期,柳瀬愛子,やなせ あいこ,あいあい,大阪府,,,,研,['エスプロモーション所属'],0,A型,157.0,"{'positive_description': [], 'negative_description': [], 'other_description': []}"
19921027,1期,山下もえ,やました もえ,もえもえ,愛知県,20091225,,S,,['バースエンターテインメント所属'],0,A型,163.0,"{'positive_description': ['趣味は、ダンス、ネイル、ファッション。（SKE48在籍時）人間観察、食べること。', '特技は、卵を速く溶く。'], 'negative_description': [], 'other_description': ['性格は、意外と真面目、とにかくポジティブなとこ。', '']}"
19920801,1期,新海里奈,しんかい りな,りなっち,愛知県,,,,研,['元チームS'],0,B型,161.0,"{'positive_description': ['趣味は、ストレッチ。薬局巡り。'], 'negative_description': [], 'other_description': ['マイペースな性格。自分自身でも「操縦不能の気分屋です」と語る。', '']}"
19961103,1期,森紗雪,もり さゆき,さゆ,愛知県,,,,研,['元チームS'],0,A型,151.0,"{'positive_description': ['趣味は、鉄棒。マット運動。'], 'negative_description': [], 'other_description': ['ヒップホップダンスを習っていた。', '']}"
19930118,3期,半田礼音,はんだ あやね,あちゅ,静岡県,,,,研,,0,,153.0,"{'positive_description': ['趣味は、ダンス・ファッション研究。'], 'negative_description': [], 'other_description': ['自分の性格を分析すると、「天然っていうより、ちょっとぬけてる（笑）」', '']}"
19940131,4期,野々山茉琳,ののやま まりん,,愛知県,,,,研,,0,B型,153.0,"{'positive_description': ['長所は、元気な所、笑顔、ハッチャケ。', '特技は、器械体操。', '得意料理は、カレーライス。'], 'negative_description': [], 'other_description': ['SKE48加入以前はダンス未経験であった。', '']}"
19880725,1期,松下唯,まつした ゆい,ゆいみん,福岡県,20110930,,S,,['現芸名：yuimin*'],0,A型,150.0,"{'positive_description': ['長所は、良い意味で適当。', '趣味は、アニメを見る・コスプレ・お絵かき。', '特技は、歌を歌う。ブリっ子。どこでもうたた寝できる。', '好きな食べ物は、ご飯・ケーキ・野菜。', '好きなスポーツは、バドミントンと水泳。', '好きな男性のタイプは、「ちゃんと自分を見てくれる人」'], 'negative_description': [], 'other_description': ['将来の夢は、声優。「声優になるために日々勉強中です！\u3000これからもみなさんに愛されるように頑張りますので、よろしくお願いします！」', '最近の日課は寝る前に読書。ゲームやアニメ化された小説などを読みあさっている。', '理想のデートは、天気のいい日や夜、ブラブラ散歩。', '']}"
19970704,4期,中村優花,なかむら ゆうか,中村くん,愛知県,20111231,,E,,,0,O型,158.0,"{'positive_description': ['趣味は、バスケットボール、天体観測。小学4年生の時に図書室で読んだ星座の本がきっかけで好きになった。', '特技は、友達づくり、スポーツ。', '好きな食べ物は、お菓子、オムライス。カルボナーラ。', '好きなブランドは、「OLIVE des OLIVE」「INGNI」 「ROSE FAN FAN」「TRA LA LA」  「LIZ LISA」', '好きな言葉は、「『できない』は『やらない』だ」。', '好きな芸能人は、ヴィゴ・モーテンセンオーランド・ブルーム、ミランダ・カー、ジョニー・デップ、イヴァナ・リンチ、ジェフリー・ラッシュ、キーラ・ナイトレイ。', '好きな飲み物は炭酸。', '怖い話とか好き。お化け屋敷も大丈夫。', '好きな髪型は、「巻き髪が好きです。家で自分でマキマキしています」', '「優花」という名前の由来は、「しい子に育ってほしいというのと、お母さんがお好きなんです！\u3000だから「優花」なのです」'], 'negative_description': ['嫌いな食べ物は、納豆などのネバネバした物。煮物。好き嫌いは多い。'], 'other_description': ['性格は、負けず嫌い。一度魂に火がつくと燃えるタイプ。', '曰く、「4期生で一番涙もろい…多分」でもによると、「泣き真似が上手い」。', '読む雑誌は、ラブセレブ。GOSSIPS。', '中学ではバスケ部に所属。', '目標の身長は165cm。', 'よく顔色が悪いと言われる。', '寒い時期は、ずっと唇が紫になる。', '眼鏡は持っておらず、コンタクト派。', 'ドライアイではないが、まばたきが多い。', '八重歯ではなく、八重歯風。「これ八重歯じゃないんです。普通の犬歯なんですよ。八重歯じゃなくて八重歯風の犬歯なのです！\u3000ちょっとお気に入り♪」', 'によると、ベッドに入ってから5秒で寝た。しかも寝言で「のんのんのんのん頑張るのん」と言っていた。', '3歳下と5歳下の弟がいる。', '']}"
19871124,1期,小野晴香,おの はるか,はるか,大分県,20120526,,S,,['みらいくーる所属'],0,O型,157.0,"{'positive_description': ['「見た目も性格もヤンキーっぽいって言われる私。まぁ否定はしませんが(笑)。ただ強めな性格に、清楚にはなりきれない(今更なるつもりもない笑)見た目なだけっす。基本、面倒くさがりで飽きっぽいけども、好きなものにはとことん熱い。まわりに何を言われようが、どう思われようが、これからも自分なりに我が道を」', '趣味は、カラオケ・ライブを観る。', '特技は、どこでも寝れる。好きな事には、とことん詳しくなれる。', '長所は、意志が強い。フレンドリー。', '好きな食べ物は、キムチ鍋・焼肉・シチュー。', '好きな色は、「濃いピンク、黒、白、赤、黄…', '好きな男性のタイプは、一緒に居て楽しい人。落ち着く人。', '理想のデートは、「テーマパークや外でのアクティブデートか、オシャレなカフェや夜景の綺麗なとこでまったりデート♪ドライブも好きー」'], 'negative_description': [], 'other_description': ['性格は、見た目通りのS。メンバーは直接本人には「やめて」とは言えないため、ラジオや公演MCで文句を言うようになった。だけは本人に言うが、すぐ「ごめん」と謝る。', '笑顔を絶やさず、超が付くほどのポジティブで、周囲に元気を与える。', '「変に冷めてるとこあるからさ、まぁこれも昔から。学生の頃なんかはしょっちゅー「晴香冷たぁい」言われてたよ。確かに昔はかなり…」「あたしの「冷めてる」って、一歩引いてるわけでも、感情を表に出さないってわけでもないんだよな。なんかわかりにくくてゴメンちゃいね(苦笑\u3000あたしもフツーに、いや結構？\u3000感情剥き出しで生きてきたのでね。あはは。もちろん抑える力もついたし、時と場合で、大人な対応も身についたと思います。笑\u3000昔に比べると、感情だけで動く事ばかりでもなくなったと思うし。そんな感じなのです。イメージどおり！\u3000って方もいれば、ちょっとガッカリって方もいますよね」', 'SKEに入って、性格は少しだけ丸くなった。', '']}"
19950427,2期,間野春香,まの はるか,はるるん,愛知県,20120526,,E,,,0,O型,159.0,"{'positive_description': ['長所は、マイペースで、生物を大切にする心。', '趣味は、アクセサリー集め。', '特技は、新体操。バック転。ブリッジ。どこでも寝られること。', '好きな食べ物は、エクレア。焼肉。', 'AKB48で好きな曲は『初日』。SKE48では『水のないプール』。', '好きな男性のタイプは、優しくて自分の事を想ってくれる人。'], 'negative_description': [], 'other_description': ['性格は、大雑把。「部屋を片付けないし、ロッカーはお菓子の匂いで充満しています。賞味期限の切れたチョコを入れっぱなしにして、大変なことになります」', '新体操をやっていたのは、マンガ『タッチ』の朝倉南に憧れたから。', '理想のデートは、夢の国へ行って、ミッキーとミニーのカチューシャを付けて歩きたい。', '「春香」という名前の由来は、「春の香りがしたなぁと思ったら、生まれてきたそうです」', 'の勝手に紹介コーナー。', '']}"
19951226,3期,山田恵里伽,やまだ えりか,えり,岐阜県,20120526,,E,,['尾関 昌也 Project レーベル所属'],0,A型,166.0,"{'positive_description': ['長所は、足が長くて、スタイルが良いこと。', '趣味は、ピアノ・韓国ドラマを見ること。', '特技は、ダンス。ソフトテニス。', '好きな男性のタイプは、黒ぶちメガネが似合う人。おもしろい、優しい、サプライズをしてくれる。', '自分が好きだった男の子がおり、従姉妹に相談したりしていたが、実はその二人が付き合っていた。', '好きな食べ物は、甘いもの・辛いもの。', '好きなキャラクターは、スティッチとアリスのチシャネコとウサビッチ。', '好きな色は、オレンジとピンク。', '好きなアーティストは、「東方神起さんや少女時代さんや主にK-POPです」'], 'negative_description': [], 'other_description': ['性格は、自称・しっかり者。同期の（卒業生）曰く「自分の話を聞いて欲しくて、くっついてくる」という甘えん坊。', '理想のデートは、ディズニーランドに行ったり、服屋など買い物に行く。', '兄がいる。', '「ジャック」と「テリー」という犬を飼っている。', 'による勝手に紹介コーナー。', '']}"
