birthday,enrollment,full_name,kana,nickname,prefecture,promotion,sister,team1,team2,note,active,blood_type,height,attributes
20020317,1期,石田千穂,いしだ ちほ,ちほ,広島県,,,STU,,,1,O型,157.0,"{'positive_description': ['の物まねが得意。', '好きな食べ物は、お好み焼き。'], 'negative_description': [], 'other_description': ['']}"
19981011,1期,石田みなみ,いしだ みなみ,みい,兵庫県,,,STU,,,1,O型,153.0,"{'positive_description': ['好きな食べ物は、いちご。'], 'negative_description': [], 'other_description': ['']}"
20000601,1期,磯貝花音,いそがい かのん,かのん,愛知県,,,STU,,,1,A型,163.0,"{'positive_description': ['好きな食べ物は、わかめ。'], 'negative_description': [], 'other_description': ['']}"
20030821,1期,市岡愛弓,いちおか あゆみ,あゆみん,福岡県,,,STU,,['2019年8月11日活動終了予定'],1,A型,158.0,"{'positive_description': ['長所は、あまり深く落ち込まないこと。嫌なことがあっても、すぐ「ま、いっか」と切り替えられるところ。', '好きな食べ物は、イカ。えび。タコ、マグロ。', '好きな言葉は、「悔しかったら勝ってみろ」、「人生は一度きり」。', '特技は、足の指を開くこと・まつ毛につまようじを乗せる。「両目だと、今まで最高で合計14本のつまようじを乗せることがあります」。', '趣味は、動画鑑賞。映画鑑賞・美少女観察。「趣味は昔から美少女観察。かわいい子を見ると落ち着くというか、気持ちがほわ～っと癒やされるんです。アイドルを目指したきっかけにもなってるかも」。', '好きな色は、黒。'], 'negative_description': ['短所は、マイペース。車酔いすると自分の世界に入ってしまうところ。'], 'other_description': ['自分の性格は、「変人」。', 'チャームポイントは、「肉々しい顔」。「メンバーに""ムギュっ""とよくつままれるほっぺ」、「全開に広げられる足の指」。', '']}"
20000219,1期,今村美月,いまむら みつき,みちゅ,広島県,,,STU,,,1,O型,158.0,"{'positive_description': ['好きな食べ物は、はっさく大福。'], 'negative_description': [], 'other_description': ['']}"
20030221,1期,岩田陽菜,いわた ひな,ひなちゃん,山口県,,,STU,,,1,A型,149.0,"{'positive_description': ['長所は、よく笑うこと、何事も全力で取り組むこと', 'フグの物まね、料理とお菓子作りが得意。', '得意な料理は、オムライス。「ご飯はケチャップライスで、玉子はとろとろの王道オムライスです」', '好きな食べ物は、いちご・タピオカ、スイーツ全般、ホルモン', '好きな言葉は、「努力すればアイドルは誰だって、未来のセンターになれるんだ」、「努力は必ず報われる」', '趣味は、料理・かわいいもの探し、AKB48のライブDVDを観ること。', '好きな色は、ピンク。「特にパステルピンクが好き」'], 'negative_description': ['短所は、泣き虫'], 'other_description': ['チャームポイントは、瞳。', '']}"
20040214,1期,大谷満理奈,おおたに まりな,"['マリーナ', '天来ちゃん']",山口県,,,STU,,,1,A型,156.0,"{'positive_description': ['好きな食べ物は、秋刀魚。'], 'negative_description': [], 'other_description': ['', '', '']}"
19971107,AKB48 14期,岡田奈々,おかだ なな,なぁちゃん,神奈川県,20170223,,STU,4,"['STU48キャプテン', 'AKB48チーム4兼任', 'AKS所属']",1,A型,155.0,"{'positive_description': ['スポーツはやる派。「体育とか本当大好きです」「サッカーとか基本的になんでも好き」', '趣味はアニメ鑑賞。', '得意な科目は、音楽。', '好きな漫画は、「会長はメイド様!」。', '好きな香りは、フルーツ系の香り。', '好きな色は、パステルカラー。', '好きな洋服の柄は、無地か花柄とか。', '好きな歌手は、きゃりーぱみゅぱみゅ。', '好きな言葉は、「ねだるな勝ち取れ、さすればあたえられん」。'], 'negative_description': ['苦手な科目は、数学。', '料理は苦手。'], 'other_description': ['長所はいつでも全力、短所は泣き虫なところ。', '口癖は、「だからーとか、でもーとか接続詞が多い気がします」。', 'お気に入りのヘアスタイルは、とりあえずロング。「いままでの人生でショートにしたのは一回しかないですね」しかし、2016年春にショートヘアにイメージチェンジした。。', '将来の夢は、歌手。', '']}"
20031128,1期,甲斐心愛,かい ここあ,"['さんしろー', 'ここあ']",広島県,,,STU,,,1,B型,149.0,"{'positive_description': ['体力に自信があって、広島カープの選手の物まねが特技。', '好きな食べ物は、お好み焼き。'], 'negative_description': [], 'other_description': ['']}"
19990826,1期,門田桃奈,かどた ももな,"['もも', 'ももな']",愛媛県,,,STU,,['2019年8月11日活動終了予定'],1,O型,161.0,"{'positive_description': ['好きな食べ物は、ハンバーグ。'], 'negative_description': [], 'other_description': ['']}"
20030311,1期,門脇実優菜,かどわき みゆな,みゆみゆ,兵庫県,,,STU,,,1,O型,152.0,"{'positive_description': ['好きな食べ物は、淡路島の玉ねぎ。'], 'negative_description': [], 'other_description': ['アニメや声優にも詳しいとのこと。', '']}"
20020428,1期,榊美優,さかき みゆ,CUCA（くーか）,香川県,,,STU,,,1,O型,151.0,"{'positive_description': ['好きな食べ物は、味噌汁・コーヒー・ゴーヤ・チーズ。', '趣味は、ミニチュアスイーツ・パン作り・美容や健康について調べること。', '特技は、学校の先生のものまね。'], 'negative_description': [], 'other_description': ['']}"
20040523,1期,新谷野々花,しんたに ののか,のんちゃん,広島県,,,STU,,,1,O型,146.0,"{'positive_description': ['好きな食べ物は、えんがわ。'], 'negative_description': [], 'other_description': ['']}"
19970924,1期,瀧野由美子,たきの ゆみこ,ゆみりん,山口県,,,STU,,,1,O型,164.0,"{'positive_description': ['特技は、中学生の頃から始めたサックスで、演奏会にも出演している。', '公式プロフィール内の「瀬戸内でオススメのもの」に「SLやまぐち」を挙げるなど、新幹線が大好きな鉄子キャラ。', '好きな食べ物は、マンゴー・尾道ラーメン。'], 'negative_description': [], 'other_description': ['小学生の頃からアイドルになりたかったという。', '広島の大学に通学している。', '']}"
19960616,1期,田中皓子,たなか こうこ,"['こっこ', 'こーこ']",佐賀県,,,STU,,,1,A型,159.0,"{'positive_description': ['好きな食べ物は、ガリ（生姜）。'], 'negative_description': [], 'other_description': ['']}"
20000203,1期,谷口茉妃菜,たにぐち まひな,まひな,徳島県,,,STU,,,1,A型,160.0,"{'positive_description': ['好きな食べ物は、すだち。'], 'negative_description': [], 'other_description': ['']}"
19990324,1期,土路生優里,とろぶ ゆり,とろちゃん,広島県,,,STU,,,1,AB型,158.0,"{'positive_description': ['ドラゴンボールが大好きで、の「JAWS」のお姉さんのものまねができる。', '好きな食べ物は、尾道ラーメン・アイス・お酢。', '好きな色は、ピンクと水色。白・黒。', '好きな動物は猫。「ぱーる」（スコティッシュフォールド）と「ジョーくん」（ミックス）という猫を飼っている。'], 'negative_description': [], 'other_description': ['', '中学では剣道、高校ではダンス部に所属。', 'AKB48では推し。握手会にも参加していた。', '', '']}"
20010118,1期,兵頭葵,ひょうどう あおい,あおい,愛媛県,,,STU,,,1,A型,159.0,"{'positive_description': ['好きな食べ物は、牡蠣・かぼちゃ。'], 'negative_description': [], 'other_description': ['吹奏楽部に所属している。', '犬とネコのものまねができる。', '']}"
19990329,1期,福田朱里,ふくだ あかり,"['ふくちゃん', 'あかりん']",香川県,,,STU,,,1,O型,164.0,"{'positive_description': ['好きな食べ物は、讃岐うどん。和三盆。うどん・なんこつ。', '趣味は、読書・バレーボール・なわとび・テニス・お笑い・ライブ。水族館巡り・アイドル研究・お絵描き。ずーっと喋ること・ネコのまね・どうぶつの森の効果音のモノマネ。', '特技は、あるあるネタを考えること・南京玉すだれ。のどごしの音を出して飲み物を飲む・ウミガメの種類を見分ける。', '長所は、明るいところ。', '好きな言葉は、「大好き!」。', '好きな動物は、カメ、ネコ、イグアナ、カワウソ。'], 'negative_description': ['短所は、思い込みが激しいところ。'], 'other_description': ['自分の性格は、ポジティブ。', '座右の銘は、死ぬこと以外かすり傷。', 'チャームポイントは、左目の下と、顔の真ん中にあるホクロ。', '']}"
19980510,1期,藤原あずさ,ふじわら あずさ,あーちゃん,岡山県,,,STU,,,1,A型,163.0,"{'positive_description': ['好きな食べ物は、のタコ飯。'], 'negative_description': [], 'other_description': ['ウミガメの種類を見分けることができる', '']}"
